Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
Przestronny Apartament z widokiem na morze,3850000.0,Sopot,Dolny Sopot, 4,132.0,2,3,,2.0,Wtórny,Na wyłączność,,,1899.0,,13.01.2024,17.04.2024,morizon-EC744792,442,0,,,Tak,,,,,,13.01.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w sercu Sopotu,849000.0,Sopot,Górny Sopot, 2,48.5,1,10,,,Wtórny,,Blok,WIELKA PŁYTA,1970.0,C.O. Z SIECI MIEJSKIEJ,30.10.2023,04.03.2024,morizon-11800/8653/OMS,294,0,ODDZIELNA,1.0,Tak,,SPÓŁDZIELCZE WŁASNOŚCIOWE,,DO REMONTU,,01.03.2024,270 cm,,,,,,,,,,,,,,Sprzedaży
Nowe | Sopot | 400m dworzec | Oddanie 15.04.2024,980000.0,Sopot,Górny Sopot, 2,43.65,2,3,,,Pierwotny,,Dom wielorodzinny,SILIKAT,2024.0,C.O. Z SIECI MIEJSKIEJ,10.01.2024,28.03.2024,morizon-312/9733/OMS,274,0,ANEKS KUCHENNY,1.0,Tak,,,,DO WYKOŃCZENIA,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje na Haffnera - 55 m2,1119000.0,Sopot,Dolny Sopot, 3,44.1,3,3,,2.0,Wtórny,,,,1910.0,,11.12.2023,29.02.2024,morizon-685976,209,0,,,Tak,,,,,,,,,,,,,,55 m²,,,,,,,Sprzedaży
3 pokoje i 2 balkonycisza pod lasem w Sopocie,1979162.0,Sopot,Górny Sopot, 3,88.0,2,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,29.03.2024,morizon-DH746222,129,0,,,Tak,,,,,,01.12.2023,,,,,,,,"83,75 m²",,,,,,,Sprzedaży
KLIMATYCZNE MIESZKANIE SOPOT DOLNY,2200000.0,Sopot,Dolny Sopot, 4,89.0,3,3,,,Wtórny,Na wyłączność,,,1900.0,Pompy ciepła,04.03.2024,04.03.2024,morizon-LX014739,130,0,Brak,1.0,Tak,Nie,Własność,,,,,,,,,,,,,,,,,,,Sprzedaży
4 pokoje i duży ogródekcisza pod lasem w Sopocie,2377438.0,Sopot,Górny Sopot, 4,114.4,3,3,,3.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,29.03.2024,morizon-DH383696,159,0,,,,Tak,,,,,01.12.2023,,,,,,,,"107,54 m²",,,,,,,Sprzedaży
Apartament z klasąpo remoncie generalnym,2562000.0,Sopot,Dolny Sopot, 3,73.2,2,2,1.0,1.0,Wtórny,Na wyłączność,,,1904.0,,07.02.2024,27.02.2024,morizon-EC882233,352,0,,,,,,,,,03.02.2024,,,,,,,,,,,,,,,Sprzedaży
Apartament 4 pokoje nad morzem / Sopot Dolny/ Spa,3543203.0,Sopot,Dolny Sopot, 4,105.6,1,3,1.0,3.0,Pierwotny,,Apartamentowiec,,2021.0,Co Miejskie,31.01.2024,31.01.2024,morizon-DH882555,210,0,,,,Tak,,,,,31.01.2024,,,,,,,,"97,92 m²",,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z ogródkiem ul. Malczewskiego Sopot,549000.0,Sopot,Brodwino, 1,32.0,3,3,,,Wtórny,Na wyłączność,,,,,01.02.2024,22.04.2024,morizon-921238,301,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Kamienny Potok 2 pokoje na sprzedaż,629000.0,Sopot,Kamienny Potok, 2,42.0,2,10,,1.0,Wtórny,Na wyłączność,Blok,Wielka płyta,,Co Miejskie,10.01.2024,13.04.2024,morizon-Kamienny Potok,204,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Centrum Sopotu | NISKI CZYNSZ 150zł | parking,635000.0,Sopot,Dolny sopot, 2,47.3,3,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1920.0,Gazowe,20.07.2023,12.03.2024,morizon-TY197868,860,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie przy parku,890000.0,Sopot,Dolny Sopot, 2,49.9,3,3,1.0,,Wtórny,Na wyłączność,Dom wielorodzinny,Cegła,1895.0,Gazowe,01.03.2024,04.04.2024,morizon-4,217,0,Osobna,1.0,Nie,Nie,Własność,,Dobry,,,318 cm,Tak,,,,,,,,,,,,,Sprzedaży
2 pokojowe mieszkanie z ogródkiemnowe osiedle,972047.0,Sopot,Górny Sopot, 2,49.4,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,30.11.2023,22.04.2024,morizon-DH119229,180,0,,,Tak,,,,,,,,,,,,,,"46,94 m²",,,,,,,Sprzedaży
Okazja- 3 pok. mieszkanie 350 m od morza i plaży,1150000.0,Sopot,Wyścigi, 3,56.0,1,11,,2.0,Wtórny,Na wyłączność,Wieżowiec,,1977.0,,18.07.2023,14.03.2024,morizon-DH214277,567,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
4 pokoje z ogródkiem,1392976.0,Sopot,Górny Sopot, 4,66.97,3,3,,,Pierwotny,,,,,,29.03.2024,04.04.2024,morizon-HEX132327,42,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
SOPOT - mieszkania 2 3 i 4 pok. gotowe do odbioru,1466811.0,Sopot,Górny Sopot, 3,68.6,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,29.11.2023,09.04.2024,morizon-DH309969,139,0,,,,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 4 pokojowenowa inwestycja w Sopocie,2113769.0,Sopot,Górny Sopot, 4,96.2,1,4,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,30.11.2023,15.04.2024,morizon-DH608847,171,0,,,Tak,,,,,,,,,,,,,,"91,03 m²",,,,,,,Sprzedaży
Mieszkanie w Sopocie w otulinie lasu blisko morza,555000.0,Sopot,Górny Sopot, 2,35.0,3,4,,,Wtórny,,,,1970.0,C.o. miejskie,27.02.2024,26.02.2024,morizon-OR016280,197,0,Osobna,1.0,Nie,Nie,Własność,Do remontu,,,,,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,610000.0,Sopot,Dolny Sopot, 1,22.0,2,4,,,Wtórny,Na wyłączność,,,2021.0,Miejskie,28.02.2024,13.04.2024,morizon-18280008,183,0,,,Tak,,Własność,,Wysoki standard,,,,,,,,,,,,300.0,,,,Mieszkanie,Sprzedaży
NIewielkieurokliwe mieszkanie blisko plaży,975000.0,Sopot,Karlikowo, 2,53.1,2,2,,1.0,Wtórny,,,,,,11.01.2024,10.04.2024,morizon-EC410460,312,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie przy Haffnera Dolny Sopot,999000.0,Sopot,Dolny Sopot, 2,38.0,3,3,,,Wtórny,Na wyłączność,,,,,17.01.2024,29.02.2024,morizon-291880,169,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
SOPOT | Apartament w centrum15 minut od plaży,1037375.0,Sopot,Dolny Sopot, 3,48.25,1,3,,,Wtórny,,Apartamentowiec,Silikat,2024.0,Ogrzewanie miejskie,12.03.2024,22.03.2024,morizon-CICU023,180,0,,,Tak,,Własność,,Deweloperski,,,,,,,,,,,,,,,,,Sprzedaży
Sopoteleganckienowegotowy apartament,1415173.0,Sopot,Górny Sopot, 2,55.9,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,05.03.2024,morizon-DH108645,142,0,,,Tak,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Apartament z ogrodem i halą garażową,1890000.0,Sopot,Górny Sopot, 3,70.8,3,3,1.0,2.0,Wtórny,Na wyłączność,Apartamentowiec,,2019.0,Co Miejskie,25.01.2024,03.02.2024,morizon-EC552003,274,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
5 pokoi3 łazienki | Apartament w sercu Sopotu,2337500.0,Sopot,Dolny Sopot, 5,106.25,3,3,,,Wtórny,,Apartamentowiec,Silikat,2024.0,Ogrzewanie miejskie,12.03.2024,22.03.2024,morizon-RERU083,161,0,,,,Tak,Własność,,Deweloperski,,,,,,,,,,,,,,,,,Sprzedaży
Sopockie Klimaty,2700000.0,Sopot,Dolny Sopot, 3,85.0,3,3,,,Wtórny,,Kamienica,Cegła,1899.0,Gazowe,10.11.2023,17.04.2024,morizon-ET033032,381,0,Osobna,1.0,Nie,Tak,Własność,Do wykończenia,Do wykończenia,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w Sopocie – niecałe 300 metrów od morza,2800000.0,Sopot,Dolny Sopot, 4,105.36,3,3,,,Wtórny,Na wyłączność,,,,,10.04.2024,09.04.2024,morizon-NY018303,106,0,Półotwarta,2.0,Nie,Tak,(Nieznany),Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Sopocka Kamienica Idealne na Apartamenty,2990000.0,Sopot,Dolny Sopot, 6,128.1,1,2,,,Wtórny,Na wyłączność,Kamienica,Cegła,1905.0,Gazowe,26.07.2023,11.03.2024,morizon-DH151608,388,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Wyjątkowy Apartament podzielony na dwa mieszkania,2999000.0,Sopot,Dolny Sopot, 5,122.0,3,3,1.0,3.0,Wtórny,,,,1900.0,,05.07.2023,05.04.2024,morizon-EC138999,568,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Luksusowy apartament w Sopocie blisko morza,1050000.0,Sopot,Górny Sopot, 2,65.65,1,4,,,Wtórny,,Kamienica,Cegła,,Gazowe,22.12.2023,21.03.2024,morizon-AG247359425,230,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
SOPOT - mieszkania 2 3 i 4 pok. gotowe do odbioru,1100434.0,Sopot,Górny Sopot, 2,45.0,2,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,29.11.2023,01.03.2024,morizon-DH292863,153,0,,,Tak,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Sopoteleganckienowegotowe apartamenty,1142548.0,Sopot,Górny Sopot, 2,48.3,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,02.03.2024,morizon-DH163405,135,0,,,,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Sopoteleganckienowegotowe apartamenty,1597389.0,Sopot,Świemirowo, 3,67.0,1,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,01.03.2024,morizon-DH431409,134,0,,,Tak,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Dwupokojowesłoneczne mieszkanie z werandą,1695000.0,Sopot,Dolny Sopot, 2,51.3,1,2,1.0,1.0,Wtórny,Na wyłączność,,,1945.0,,26.01.2024,14.03.2024,morizon-EC448516,333,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
SOPOT - mieszkania 2 3 i 4 pok. gotowe do odbioru,1870530.0,Sopot,Górny Sopot, 3,78.9,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,29.11.2023,02.03.2024,morizon-DH192217,133,0,,,,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
SOPOT - mieszkania 2 3 i 4 pok. gotowe do odbioru,2273220.0,Sopot,Górny Sopot, 4,100.9,3,3,,3.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,29.11.2023,02.03.2024,morizon-DH449589,171,0,,,,,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,2350000.0,Sopot,Dolny Sopot, 4,85.12,3,3,,3.0,Wtórny,,Apartamentowiec,,2022.0,,21.03.2023,11.04.2024,morizon-MS-84694,545,0,,,,,,,Do wprowadzenia,,,,,,,,,,,,,,,,,Sprzedaży
Niesamowity apartament w sercu Sopotu,3400000.0,Sopot,Dolny Sopot, 5,115.68,2,2,2.0,,Wtórny,,Apartamentowiec,,2004.0,Gazowe,24.01.2024,07.03.2024,morizon-DJ265349,178,0,,,Tak,,,,,,24.01.2024,,,,,,,,,,,,,,,Sprzedaży
Sprzedam mieszkanie dwupokojowe w Sopocie,599000.0,Sopot,Górny Sopot, 2,37.6,9,10,,,Wtórny,,Blok,Wielka płyta,1971.0,,03.04.2024,16.04.2024,morizon-gratka-34153549,121,0,Osobna,,Tak,,Własność,,,,01.05.2024,,Tak,,,,,,,,,,,,,Sprzedaży
Mieszkanie w otulinie lasu15MIN DO MORZA,635000.0,Sopot,Kamienny Potok, 2,37.2,2,10,,,Wtórny,,Wieżowiec,,1977.0,C.O. Z SIECI MIEJSKIEJ,07.09.2023,19.04.2024,morizon-588/13290/OMS,496,0,ODDZIELNA,1.0,Tak,,SPÓŁDZIELCZE WŁASNOŚCIOWE,,WYSOKI STANDARD,,,,,,,,,,,,,,,,,Sprzedaży
Niewielkie mieszkanie w wyremontowanej kamienicy,850000.0,Sopot,Dolny Sopot, 2,31.26,1,3,1.0,1.0,Wtórny,Na wyłączność,,,,,20.12.2023,19.04.2024,morizon-EC177012,409,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
2 pokoje na parterze kamienicyblisko plaży,1249000.0,Sopot,Dolny Sopot, 2,69.0,3,3,,,Wtórny,,Kamienica,Cegła,1896.0,,07.12.2023,17.04.2024,morizon-334858,284,0,,,,,,,,,01.06.2024,,,,,,,,,,,,,,,Sprzedaży
3-pokojowe w doskonałej lokalizacji/hala garażowa,1450000.0,Sopot,Dolny Sopot, 3,67.21,1,2,,2.0,Wtórny,,,,2001.0,,01.02.2024,04.03.2024,morizon-817375,263,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
GÓRNY SOPOT!! po generalnym remoncie,2650000.0,Sopot,Górny Sopot, 3,105.2,1,1,,,Wtórny,,Kamienica,Cegła,1910.0,Gazowe,19.04.2023,07.11.2023,morizon-PH176217,461,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Kawalerka w Sopocie blisko morza! Idealna pod inwestycję,659000.0,Sopot,Karlikowo, 1,32.1,3,3,1.0,,Wtórny,,Kamienica,Cegła,1934.0,Gazowe,09.01.2024,12.03.2024,morizon-2024/S/PB/2,454,0,Aneks,1.0,Nie,Nie,Własność,Do remontu,Bardzo dobry,,09.01.2024,300 cm,Tak,,,50 m²,,4 m²,,,,,,,,Sprzedaży
Możliwość aranżacji większej ilości pokoi,1299000.0,Sopot,Górny Sopot, 3,101.21,2,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1950.0,Gazowe,15.08.2023,08.03.2024,morizon-R-601299,594,0,,,,,,,,,30.09.2023,,,,,,,,,,,,,,,Sprzedaży
Nowe mieszkanie w centrum Sopotu 4pokoje 66m2,1392976.0,Sopot,Górny Sopot, 4,66.97,3,3,1.0,,Pierwotny,,Blok,,,Co Miejskie,28.03.2024,28.03.2024,morizon-DJ956808,39,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot ul. Bohaterów Monte Cassino! blisko morza,1494500.0,Sopot,Dolny Sopot, 3,61.0,3,3,1.0,2.0,Wtórny,,Kamienica,Cegła,1930.0,Gazowe,16.01.2024,02.04.2024,morizon-DH464045,128,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Nowe mieszkanie w centrum Sopotu 4pokoje 106 55m2,2290825.0,Sopot,Górny Sopot, 4,106.55,1,3,1.0,,Pierwotny,,Blok,,,Co Miejskie,28.03.2024,28.03.2024,morizon-DJ821069,57,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje do własnej aranżacji 4 minuty od plaży,1400000.0,Sopot,Dolny Sopot, 3,68.47,3,3,1.0,,Wtórny,,Kamienica,Cegła,1900.0,Gazowe,07.06.2022,27.03.2024,morizon-PAN486261,2 854,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje do własnej aranżacji- 200m do plaży,1420000.0,Sopot,Dolny Sopot, 3,68.41,3,3,,,Wtórny,Na wyłączność,Kamienica,,1896.0,,09.01.2024,19.04.2024,morizon-DH331775,301,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Blisko plażyz ogródkiem 150 m2,1420000.0,Sopot,Dolny Sopot, 3,49.0,3,3,,2.0,Wtórny,,Apartamentowiec,,2009.0,Co Miejskie,06.10.2023,15.03.2024,morizon-DH514111,390,0,,,,,,,,,01.10.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot ul. Łokietkaoryginalny apartament 101 70 m,2220000.0,Sopot,Karlikowo, 4,101.7,3,3,,,Wtórny,Na wyłączność,,Różnorodny,2011.0,C.o. miejskie,16.12.2023,11.04.2024,morizon-AK0911,653,0,Półotwarta,2.0,Tak,Nie,Własność,Wysoki standard,,,,,Nie,,,,,,,,,,,,,Sprzedaży
Dwupiętrowy apartament | widok na las | duży garaż,2685000.0,Sopot,Górny Sopot, 3,124.6,1,2,,2.0,Wtórny,,Blok,,2000.0,Gazowe,17.11.2023,20.02.2024,morizon-DH614687,316,0,,,Tak,,,,,,20.02.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot2 lokale z możliwością podziału na 4,2990000.0,Sopot,Dolny Sopot, 9,288.8,2,3,,,Wtórny,,Kamienica,Cegła,1901.0,Co Własne,27.09.2023,25.03.2024,morizon-PAN672699,550,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Atrakcyjne mieszkanie blisko plaży,1200000.0,Sopot,Dolny Sopot, 3,60.0,1,3,,,Wtórny,,Blok,Pustak,1994.0,Co Miejskie,05.02.2024,07.02.2024,morizon-PAN130620,423,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowe 4 Pokoje Nowa Inwestycja 1 5 km od Molo,1392976.0,Sopot,Górny Sopot, 4,66.97,3,3,,3.0,Pierwotny,,Apartamentowiec,,2024.0,Co Miejskie,03.10.2023,14.03.2024,morizon-223494,199,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Kultowa lokalizacj! Słynny deptak 800 m od plaży,1599000.0,Sopot,Dolny Sopot, 4,119.7,3,3,,,Wtórny,,Kamienica,Cegła,1904.0,Gazowe,17.02.2023,15.02.2024,morizon-DH958663,751,0,,,,,,,,,,,,,,,,,"151,10 m²",,,,,,,Sprzedaży
Piękny apartament w Sopocie • WIRTUALNY SPACER,1849000.0,Sopot,Dolny Sopot, 3,80.9,1,3,,2.0,Wtórny,Na wyłączność,,,,,24.10.2023,27.02.2024,morizon-310764,255,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Inwestycja w sercu Sopotu,1900000.0,Sopot,Dolny Sopot, 4,156.27,2,3,1.0,,Wtórny,,Kamienica,Cegła,1901.0,Gazowe,01.04.2022,23.02.2024,morizon-EC462290,2 310,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
4-pokojowy Apartament z tarasem blisko plaży,1921000.0,Sopot,Dolny Sopot, 4,117.84,3,3,1.0,3.0,Wtórny,Na wyłączność,,,1910.0,,20.09.2022,19.02.2024,morizon-EC991330,2 212,0,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
PIĘKNY APARTAMENT Z DUSZĄ W DOLNYM SOPOCIE,2790000.0,Sopot,Dolny Sopot, 3,112.0,3,3,,,Wtórny,,Kamienica,Cegła,1903.0,Gazowe,02.10.2023,07.03.2024,morizon-PAN718985,328,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Centrum,698000.0,Sopot,Dolny Sopot, 2,54.0,1,2,,,Wtórny,,,,1905.0,Kotłownia lokalna,30.10.2023,08.04.2024,morizon-CN0745,1 220,0,Osobna,1.0,Tak,Nie,Własność,Po remoncie,,,,,,,,,,,,,,,,,,Sprzedaży
Klimatyczne mieszkanie Sopot 3 pokoje po remoncie blisko SKM wysoki standard,699000.0,Sopot,Górny Sopot, 3,50.0,3,3,,,Wtórny,,,Cegła,,,23.02.2024,18.04.2024,morizon-525047,580,0,Oddzielna,1.0,,,Własność,,,,,,,,,,,,,,,,,,,Sprzedaży
4 pokojowe mieszkanie w centrum Sopotu- inwestycja,699000.0,Sopot,Dolny Sopot, 4,56.01,3,3,,3.0,Wtórny,Na wyłączność,Kamienica,,1905.0,,11.08.2023,14.03.2024,morizon-DH611767,794,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z ogrodem | SOPOT Centrum,1392976.0,Sopot,Górny Sopot, 4,66.97,3,3,,,Wtórny,,,,2024.0,,02.04.2024,22.04.2024,morizon-HEX927414,61,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie do własnej aranżacji 250 m od plaży,1490000.0,Sopot,Dolny Sopot, 3,63.3,3,3,1.0,,Wtórny,,Kamienica,Cegła,1900.0,Gazowe,07.06.2022,28.02.2024,morizon-PAN771374,3 969,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Niezwykły Apartament w wysokim standardzie z sauną,2600000.0,Sopot,Dolny Sopot, 4,114.82,2,2,2.0,3.0,Wtórny,,,,1903.0,,27.01.2023,26.03.2024,morizon-EC298226,2 185,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Słoneczny apartament blisko morza. 5min od Mola,2790000.0,Sopot,Dolny Sopot, 2,112.0,3,3,,,Wtórny,,Kamienica,,1903.0,Gazowe,26.09.2023,23.03.2024,morizon-740192,219,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot Dolny - lokal podzielony na 3 mieszkania,4300000.0,Sopot,Dolny Sopot, 8,189.2,3,3,,,Wtórny,Na wyłączność,,,1900.0,Gazowe,20.02.2024,20.02.2024,morizon-KO06983,67,0,Półotwarta,3.0,Nie,Nie,Własność,Bardzo dobry,,,,,Nie,,,,,,,,,,,,,Sprzedaży
3 pokoje do własnej aranżacji,1039000.0,Sopot,Górny Sopot, 3,74.0,3,3,,3.0,Wtórny,Na wyłączność,,,1935.0,,22.01.2024,20.04.2024,morizon-HEX411386573,237,0,,,,,,,,,22.01.2024,,,,,,,,85 m²,,,,,,,Sprzedaży
SOPOT 2 pok. apartament w centrum,1050000.0,Sopot,Dolny Sopot, 2,65.0,1,3,,,Wtórny,,Kamienica,Cegła,1906.0,Gazowe,06.02.2024,06.02.2024,morizon-PAN418813,318,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje w Sopocie w kamienicy,1169000.0,Sopot,Świemirowo, 3,73.4,3,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1900.0,Gazowe,01.05.2023,04.03.2024,morizon-HEX389395,584,0,,,,,,,,,26.04.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot Dolny. 200 m do plaży.kamienica,1249000.0,Sopot,Dolny Sopot, 2,71.7,3,3,,2.0,Wtórny,,Kamienica,,1896.0,,20.12.2023,23.03.2024,morizon-DH769380,436,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Ekskluzywny Apartament z tarasem i halą garażową,4800000.0,Sopot,Dolny Sopot, 3,120.0,1,3,1.0,2.0,Wtórny,Na wyłączność,Apartamentowiec,,,Co Miejskie,09.02.2023,03.02.2024,morizon-EC142682,1 691,0,,,,Tak,,,,,07.02.2023,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie Sopot Centrum,698000.0,Sopot,Dolny Sopot, 2,53.8,1,2,,,Wtórny,,Kamienica,Cegła,,Gazowe,24.04.2023,17.01.2024,morizon-AG625377,1 757,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
2 mieszkania w centrum Sopotu,1100000.0,Sopot,Dolny Sopot, 4,84.0,3,3,1.0,2.0,Wtórny,,Blok,Konstrukcja żelbetowa,1960.0,Co Miejskie,28.01.2021,06.11.2023,morizon-PAN334763147,5 863,0,,,Tak,,,,,,,,,,,,,,"71,30 m²",,,,,,,Sprzedaży
3 pokoje w Sopocie- second home/inwestycja,1329000.0,Sopot,Dolny Sopot, 3,58.0,2,2,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1928.0,Gazowe,02.10.2023,28.12.2023,morizon-WH936797,976,0,,,,,,,,,,,,,,,,,57 m²,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Apartament z ogródkiemSopotzamknięte osiedle,1499000.0,Sopot,Karlikowo, 2,58.3,3,3,,,Wtórny,,Apartamentowiec,,2011.0,Co Miejskie,04.08.2023,13.11.2023,morizon-PH226048,506,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowe 2 pokoje blisko morza,1840000.0,Sopot,Wyścigi, 2,72.5,1,3,,1.0,Wtórny,,Apartamentowiec,Cegła,2007.0,,08.12.2023,29.01.2024,morizon-WH125915,401,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
MIeszkanie przy plaży z widokiem na morze,1850000.0,Sopot,Dolny Sopot, 2,80.0,3,3,2.0,1.0,Wtórny,Na wyłączność,Kamienica,Cegła,1905.0,Elektryczne,18.08.2023,26.01.2024,morizon-EC793682,1 055,0,,,,,,,,,11.08.2023,,,,,,,,"44,10 m²",,,,,,,Sprzedaży
Mieszkanie z dusząw świetnej lokalizacji,1890000.0,Sopot,Dolny Sopot, 2,81.2,1,3,,1.0,Wtórny,,Kamienica,Cegła,1920.0,Gazowe,18.08.2023,19.01.2024,morizon-EC900321,614,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Piękneklimatyczne mieszkanie w kamienicy,1895000.0,Sopot,Dolny Sopot, 2,81.0,1,3,,,Wtórny,,Kamienica,,1920.0,,17.11.2023,03.02.2024,morizon-DH209396,215,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
