Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
"Nowe 3 Pokojowe Mieszkanie | Gdańsk Letnica"|799 000 zł|Gdańsk, |Letnica, | • 3 pokoje|55,95 m²|2/17|17|1|Tak|Wtórny|Na wyłączność|2023|22.01.2024|12.04.2024|morizon-GOF466190|604|35||22.01.2024|Blok Mieszkalny|Pustak|Co Miejskie||||||||||||||||||||||
Gdańsk Zaspa, 3 pokoje dużo możliwości|888 000 zł|Gdańsk, |Zaspa, | • 3 pokoje|64,40 m²|7/9|9|2|Tak|Wtórny|Na wyłączność|1979|28.12.2023|15.04.2024|morizon-GOF935167|1 120|35||31.01.2024|Blok Mieszkalny|Konstrukcja żelbetowa|Co Miejskie||||||||||||||||62,40 m²||||||
Idealne Mieszkanie Pod Inwestycje|1 150 000 zł|Gdańsk, |Siedlce| • 4 pokoje|110,30 m²|4/4|4|3||Wtórny|Na wyłączność|1950|28.02.2024|22.03.2024|morizon-GOF401116|492|35||28.02.2024|Kamienica|Cegła|Gazowe||||||||||||||||||||||
"Apartament Gdańsk Oliwa | Gotowy do odbioru"|1 536 833 zł|Gdańsk, |Oliwa, | • 3 pokoje|72,39 m²|3/3|3|2||Pierwotny||2023|31.01.2024|22.04.2024|morizon-757408|140|31|||||||||||||||||||||||||||
"Apartament 3-pokoje | Gdańsk"|1 008 548 zł|Gdańsk, |Siedlce, | • 3 pokoje|56,66 m²|1/2|2|2||Pierwotny||2024|31.01.2024|22.04.2024|morizon-242814|145|31|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
"Apartament Gdańsk Oliwa | Gotowy do odbioru"|980 667 zł|Gdańsk, |Oliwa, | • 2 pokoje|52,13 m²|1/3|3|||Pierwotny||2023|30.01.2024|28.03.2024|morizon-640910|305|31|||||||||||||||||||||||||||
3 pok 71m2 loggia 6m2 WIDOK NA MORZE i LAS|1 450 000 zł|Gdańsk, |Przymorze| • 3 pokoje|77,30 m²|10/17|17||Tak|Wtórny||2016|09.04.2024|20.04.2024|morizon-16727/5571/OMS|82|27|||APARTAMENTOWIEC|CEGŁA|C.O. Z SIECI MIEJSKIEJ|||ODDZIELNA|||||WŁASNOŚĆ||||||||||||||
"GOTOWA DO WYNAJMU | blisko plaży"|580 000 zł|Gdańsk, |Letnica, | • 1 pokój|30,16 m²|7/12|12|1|Tak|Wtórny||2021|10.04.2024|12.04.2024|morizon-823852817|139|27||27.04.2024|Apartamentowiec|YTong|Co Miejskie||||||||||||||||||||||
"Przestronne i jasne | Jeziorko | Duża łazienka"|650 000 zł|Gdańsk, |Zakoniczyn, | • 2 pokoje|59,53 m²|2/3|3|2|Tak|Wtórny|Na wyłączność|2006|10.04.2024|10.04.2024|morizon-RANDALL183559|111|27||09.04.2024|||||||||||||||||||||||||
Jasne 4 pokoje dla rodziny kochającej naturę|770 000 zł|Gdańsk, |Zakoniczyn, | • 4 pokoje|71,89 m²|1/3|3|3|Tak|Wtórny|Na wyłączność|2006|10.04.2024|10.04.2024|morizon-RANDALL898969|138|27|||||||||||||||||||||||||||
