Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Wyposażone gotowe do zamieszkania od kwietnia|3 000 zł|Gdańsk, |Stogi, ||40 m²||4|||||Wtórny||||Blok Mieszkalny|Pustak|Co Miejskie|19.02.2024|05.03.2024|morizon-426155|198|0|Nie|2018||||||||||||||
2 pokoje 39,5m Gdańsk Oliwa od ZARAZ 1 km od morza|3 300 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|39,50 m²||4|Aneks kuchenny - połączony z salonem|Tak|PCV 3 szyby, ciepły montaż|4300|Wtórny||||Apartamentowiec|Beton, cegła||10.02.2024|27.03.2024|morizon-M4G-MW-169-1|142|0|Tak|||1|||||2|270 cm|20 m²||||350|
Posiadamy do wynajęcia zupełnie nowy 3 pokojowy ap|3 300 zł|Gdański, |Gdańsk, ||57 m²|3/3|3|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|24.01.2024|11.04.2024|morizon-JJ02498|264|0|Tak|2022||1|Wysoki standard||Nie|||||||||
3 pokoje po generalnym remoncie. Blisko centrum|3 500 zł|Gdańsk, |Siedlce, ||56,12 m²|9/10|10|||||Wtórny|||Na wyłączność|Wieżowiec|Wielka płyta|Co Miejskie|01.12.2023|06.04.2024|morizon-TC765669|204|0|Tak||1||||||2|||||||
"REZERWACJA | 2 pokoje | Wynajem | Śródmieście"|3 600 zł|Gdańsk, |Śródmieście|WYSOKI STANDARD|46,36 m²|5/5|5|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|27.03.2024|05.04.2024|morizon-BON45277|56|0|Tak|2021||||||||||||||
Mieszkanie 200 m2 z tarasem|10 500 zł|Gdańsk, |Kartuska|DOBRY|200 m²|1/2|2|||||Wtórny|01.10.2023|||DOM|CEGŁA|C.O. GAZOWE|13.03.2024|13.03.2024|morizon-67/14488/OMW|113|0||1996||2||||||300 cm||||||
Mieszkanie - Gdańsk Rębowo|2 250 zł|Gdańsk, |Rębowo, ||50,70 m²|2/3|3|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|19.03.2024|22.03.2024|morizon-H006211|398|0|Tak|2019||1|Bardzo dobry||Nie|||||||||
Ekskluzywne 3 pok. blisko plaży,dostępne od zaraz|4 699 zł|Gdańsk, |Wrzeszcz, |Wysoki standard|75 m²|6/7|7|Aneks|Tak|||Wtórny|19.02.2024|Własność|Na wyłączność|Apartamentowiec|Cegła|Miejskie|21.02.2024|12.03.2024|morizon-49|264|0|Tak|2010||1|Bardzo dobry|||||||||69,10 m²||
102m2 Apartament z widokiem na zatokę|11 000 zł|Gdańsk, |Przymorze, ||102 m²|10/12|12|||||Wtórny|||Na wyłączność|Apartamentowiec|Cegła|Co Miejskie|08.01.2024|04.04.2024|morizon-WH596046|146|0|Tak|2023|||||||3|||||||
Kawalerka Gdańsk Żabianka|1 600 zł|Gdańsk, |Żabianka, ||23 m²|3/4|4|||||Wtórny|||||||07.03.2024|19.03.2024|morizon-537061|315|0||||||||||||||||
Posiadamy do wynajęcia mieszkanie o pow. 47,00 m2|2 300 zł|Gdańsk, |Wrzeszcz, ||47 m²|2/4|4|Osobna||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|23.03.2024|25.03.2024|morizon-JJ02548|253|0|Nie|||1|Bardzo dobry||Nie|||||||||
Gdańsk 50 m2 z ogródkiem nowe budownictwo|2 400 zł|Gdańsk, |Łostowice, ||50,20 m²||4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|09.11.2023|12.04.2024|morizon-TY964437|227|0||2014|||||||1|||||||
Blisko GUMED oraz PG! Po remoncie|2 600 zł|Gdańsk, |Suchanino, ||52 m²|5/5|5|||||Wtórny|16.02.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|16.02.2024|11.04.2024|morizon-PN104823|194|0|Tak|2011|||||||1|||||||
Mieszkanie na podwalu z widokiem na Gdańsk|2 800 zł|Gdańsk, |Podwale Staromiejskie||48 m²|3/3|3|||||Wtórny|||Na wyłączność||||29.03.2024|22.03.2024|morizon-548732161|72|0||||||||||||||||
Świetnie zlokalizowane 2pok mieszkanie Śródmieście|2 800 zł|Gdańsk, |Śródmieście, |WYSOKI STANDARD|50 m²|2/4|4|ODDZIELNA||||Wtórny||WŁASNOŚĆ|Na wyłączność|KAMIENICA||C.O. Z SIECI MIEJSKIEJ|10.10.2023|11.04.2024|morizon-47732/2089/OMW|226|0|Tak|||1||||||||||||
Opis nieruchomości|2 950 zł|Gdańsk, |Jasień, ||58 m²|1/3|3|||||Wtórny||||Blok Mieszkalny||Co Miejskie|27.02.2024|27.02.2024|morizon-HEX556126|130|0|Tak|2019||||||||||||||
Posiadamy do wynajęcia atrakcyjne, komfortowo urzą|3 000 zł|Gdański, |Gdańsk, ||40 m²|5/12|12|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|14.03.2024|11.04.2024|morizon-JJ02489|137|0|Tak|||1|Wysoki standard||Nie|||||||||
"Premium 2 pokoje | Śródmieście | widok | ogródek"|3 400 zł|Gdańsk, |Śródmieście, ||48 m²||3|||||Wtórny|||Na wyłączność|Apartamentowiec|||12.01.2024|08.04.2024|morizon-HEX199974|72|0||2022||||||||||||||
Wyjątkowy apartament w DEO PLAZA w sercu Gdańska|20 000 zł|Gdańsk, |Śródmieście, ||98,46 m²|6/7|7|||||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|10.05.2023|26.03.2024|morizon-TC883124|467|0|Tak|2019|2||||Tak||2|||||||
Duże 2-pokojowe od zaraz/miejsce postojowe|3 000 zł|Gdańsk, |Morena, ||51 m²|2/4|4|Brak||||Wtórny||Własność||||C.o. miejskie|19.03.2024|18.03.2024|morizon-GB06016|135|0|Tak|2013||1|Bardzo dobry||Nie|||||||||
Posiadamy na wynajem zupełnie nowe 3-pokojowe mies|3 200 zł|Gdański, |Gdańsk, ||60 m²|2/4|4|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|06.03.2024|22.03.2024|morizon-JJ02542|345|0|Tak|2023||1|Wysoki standard||Nie|||||||||
NOWOCZESNE MIESZKANIE 2-POKOJE/ NOWA LETNICA|3 500 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|51 m²|11/17|17|||||Wtórny||||Apartamentowiec|||11.01.2024|05.04.2024|morizon-BHN-MW-4159-1|39|0|Tak|2021|||||||1||||||670|
Komfortowe Czteropokojowe mieszkanie Matarnia|4 200 zł|Gdańsk, |Matarnia, ||64,60 m²|2/3|3|||||Wtórny|12.02.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|11.02.2024|12.02.2024|morizon-DH384904|192|0|||1||||||3|||||||
3 pokoje po remoncie Gd. Przymorze|4 800 zł|Gdańsk, |Przymorze, ||89 m²||1|||||Wtórny|15.03.2024|||Dom Wielorodzinny||Pompa Ciepła|15.03.2024|05.04.2024|morizon-DJ927541|118|0|Tak||1||||||2|||||||
Nowoczesna Kawalerka z miejscem postojowym|2 100 zł|Gdańsk, |Jasień, ||30 m²|1/4|4|||||Wtórny|01.01.2024|||Blok Mieszkalny|YTong|Co Miejskie|28.12.2023|09.04.2024|morizon-DJ777359|204|0|Tak|2019|1|||||||||||||
Nowoczesna Kawalerka z miejscem postojowym|2 100 zł|Gdańsk, |Jasień, ||30 m²|1/4|4|||||Wtórny|01.01.2024|||Blok Mieszkalny|YTong|Co Miejskie|27.12.2023|11.04.2024|morizon-DJ830805|177|0|Tak|2019|1|||||||||||||
Mieszkanie - Gdańsk Przymorze|2 200 zł|Gdańsk, |Przymorze, ||36 m²|2/3|3|Brak||||Wtórny||(Nieznany)|Na wyłączność|||C.o. miejskie|20.03.2024|20.03.2024|morizon-H006212|291|0|Tak|2002||1|Bardzo dobry||Nie||||2 m²|||||
Kawalerka 29 m2 na Przymorzu|2 300 zł|Gdańsk, |Przymorze, ||29 m²|1/4|4|||||Wtórny|24.04.2023|||Blok Mieszkalny||Co Miejskie|09.04.2024|11.04.2024|morizon-DJ280064|35|0|Tak||1|||||||||||||
Dwa pokoje na Letnicy|2 400 zł|Gdańsk, |Letnica||42,40 m²|12/17|17|||||Wtórny|01.03.2024|||Apartamentowiec|YTong|Co Miejskie|11.01.2024|10.03.2024|morizon-DH829270|162|0||2021|1||||||1|||||||
Posiadamy do wynajęcia przepięknie urządzone , now|2 500 zł|Gdański, |Gdańsk, ||32 m²|2/7|7|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|13.03.2024|13.03.2024|morizon-JJ02544|162|0|Tak|2023||1|Wysoki standard||Nie|||||||||
Old Nova - historyczne centrum Gdańska|3 300 zł|Gdańsk, |Panieńska||47 m²|2/4|4|||||Wtórny|18.08.2023||Na wyłączność|Apartamentowiec||Co Miejskie|18.08.2023|01.04.2024|morizon-EC187162|310|0|Tak|2018|||||||1|||||||
Centrum, środkowa kondygnacja - osobne mieszkanie|3 500 zł|Gdańsk, |Chełm, |DOBRY|67,96 m²|1/2|2|Z OKNEM||||Wtórny|08.02.2024|WŁASNOŚĆ|Na wyłączność|DOM|CEGŁA|INNE|07.02.2024|22.03.2024|morizon-48422/2089/OMW|252|0||||1||||||280 cm||||||
5 POKOI Z WIDOKIEM – OSTATNIE PIĘTRO|6 500 zł|Gdańsk M., |Gdańsk|Wykończony|99,50 m²|4/4|4|||PCV|13000|Wtórny||Jeden właściciel||Nowe budownictwo||C.O. miejskie|18.11.2023|18.11.2023|morizon-QRC-MW-7184|218|0|Tak|2022|2||||||4||10 m²|||||
Przestronne mieszkanie z dużym ogrodem i parknig|2 150 zł|Gdańsk, |Kokoszki, |WYSOKI STANDARD|36,18 m²||4|Z OKNEM||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|PUSTAK||30.01.2024|31.01.2024|morizon-48443/2089/OMW|197|0||2021||||||||270 cm||||||
Posiadamy do wynajęcia atrakcyjne mieszkanie o pow|2 800 zł|Gdański, |Gdańsk, ||71 m²|1/2|2|Brak||||Wtórny||Własność||||C.o. miejskie|19.11.2023|11.04.2024|morizon-JJ02525|625|0|Tak|||1|Bardzo dobry||Nie|||||||||
Mieszkanie na wynajem z widokiem na Motławę|3 300 zł|Gdańsk, |Śródmieście, ||51 m²|2/4|4|||||Wtórny|01.09.2023|||Apartamentowiec||Co Miejskie|15.09.2023|27.03.2024|morizon-DH406037|163|0||2007||||||||||||||
Gdańsk Oliwa Kilarskich 2 pok ogrodek miejsce garazowe komorka|3 500 zł|Gdańsk, |Oliwa, ||37 m²||||Tak|||Wtórny||||Apartamentowiec|||24.03.2024|28.03.2024|morizon-gratka-33943385|177|0|Tak|||||||||||||||
Gdańsk Wrzeszcz ,Marii Konopnickiej - apartament|3 600 zł|Gdańsk, |Wrzeszcz, |BARDZO WYSOKI STANDARD|57 m²|1/4|4|ODDZIELNA||||Wtórny|01.04.2024|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|07.03.2024|07.03.2024|morizon-95/5569/OMW|173|0|Tak|2020||1||||||260 cm||||||
Mieszkanie na wynajem, Gdańsk Śródmieście|6 200 zł|Gdańsk, |Śródmieście, |Wysoki standard|86,17 m²|2/4|4|||||Wtórny||Własność|Na wyłączność|Apartamentowiec|Mieszana|Ogrzewanie miejskie|09.02.2024|11.03.2024|morizon-KAJA413|197|0|Tak|2019||||||||270 cm||||||
Widokowy apartament w inwestycji Granaria|7 000 zł|Gdańsk, |Śródmieście, ||59 m²|5/7|7|||||Wtórny|||Na wyłączność||||04.02.2024|12.04.2024|morizon-EC590567|126|0|Tak|2019|||||||1|||||||
Mieszkanie - Gdańsk Orunia Górna|2 000 zł|Gdańsk, |Orunia Górna, ||26 m²|4/4|4|Osobna||||Wtórny||Własność||||C.o. miejskie|12.03.2024|11.03.2024|morizon-GE01600|97|0|Nie|||1|Dobry||Nie|||||||||
Bez prowizji ! Kawalerka, Gdańsk-Ujeścisko|2 253 zł|Gdańsk, |Mariana Kołodzieja||34,80 m²|3/3|3|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK|PUSTAK|C.O. Z SIECI MIEJSKIEJ|11.12.2023|08.04.2024|morizon-58/14488/OMW|347|0|Tak|2017||1||||||270 cm||||||
Kawalerka z ogrodem tuż przy lesie- wynajem na rok|2 300 zł|Gdańsk, |Wrzeszcz, ||35 m²||2|||||Wtórny||||Kamienica||Gazowe|29.09.2023|14.03.2024|morizon-DH754035|503|0|Nie||||||Nie|||||||||
Najem / GDAŃSK / 3 pok. 2 auta  taras|2 900 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|90 m²|1/2|2|Jasna z oknem||DREWNIANE NOWY TYP||Wtórny||Wspólnota małżeńska||Apartamentowiec|Cegła|C.O. miejskie|05.01.2024|05.04.2024|morizon-KNG-MW-4056|273|0|Tak|2005|||||Tak||2|275 cm|10 m²||||947|
OldNova - apartament z klasą w centrum Gdańska|3 500 zł|Gdańsk, |Panieńska||44 m²|4/4|4|||||Wtórny|01.09.2023||Na wyłączność|Apartamentowiec||Co Miejskie|04.12.2023|01.04.2024|morizon-EC615447|384|0|Tak|2018|||||||1|||||||
Granaria- 4 pokojowy apartament z sauną|14 000 zł|Gdańsk, |Śródmieście, ||102 m²|7/7|7|||||Wtórny|19.01.2024||Na wyłączność|Apartamentowiec|Silikat|Co Miejskie|18.01.2024|14.02.2024|morizon-EC259824|112|0|Tak|2019|||||||3|||||||
Opis nieruchomości|2 100 zł|Gdańsk, |Lawendowe Wzgórze||31,10 m²|1/6|6|ANEKS KUCHENNY||||Wtórny||||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|09.01.2024|20.02.2024|morizon-BON44308|240|0|Tak|||||||||||||||
Centrum, Gdańsk, 2 pokoje|2 900 zł|Gdańsk, |Śródmieście, ||32 m²|1/4|4|||||Wtórny|02.09.2024|||Kamienica||Co Miejskie|10.09.2023|04.04.2024|morizon-DH397529|250|0|||||||||1|||||||
Przytulne 2 pokojowe mieszkanie w sercu Wrzeszcza|3 300 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|43 m²|2/6|6|||||Wtórny||||Budynek wielorodzinny|||15.01.2024|15.01.2024|morizon-BHN-MW-3981|92|0||||||||||||||||
Gdańsk, Śródmieście, Kamienna Grobla|4 800 zł|Gdańsk, |Śródmieście, |Wysoki standard|76,04 m²|4/4|4|||||Wtórny||Własność|Na wyłączność|Apartamentowiec|Mieszana|Ogrzewanie miejskie|27.12.2023|11.03.2024|morizon-FOKE782|187|0|Tak|2019||||||||270 cm||||||
Wynajmij kawalerkę w centrum miasta|2 400 zł|Gdańsk, |Panieńska||39 m²|4/4|4|||||Wtórny|24.01.2024||Na wyłączność|Apartamentowiec||Co Miejskie|24.01.2024|07.02.2024|morizon-EC607520|225|0||2018||||||||||||||
Piękne mieszkanie 41m2 Gdańsk Łostowice|2 500 zł|Gdańsk, |Łostowice, ||41,45 m²||4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|11.03.2024|12.03.2024|morizon-DJ803274|147|0|||1|||||||||||||
Mieszkanie - Gdańsk Aniołki|2 600 zł|Gdańsk, |Aniołki, ||50 m²|1/3|3|Osobna||||Wtórny||Własność||||C.o. miejskie|28.03.2024|27.03.2024|morizon-HL0930|31|0|Tak|2000||1|Do zamieszkania||Nie|||||||||
Duże 2 pokojowe z oddzielną kuchnią, widok na las|2 600 zł|Gdańsk, |Niedźwiednik, |WYSOKI STANDARD|61 m²|5/9|9|ODDZIELNA||||Wtórny||WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|03.01.2024|08.01.2024|morizon-48304/2089/OMW|172|0|Tak|||1||||||||||||
2 pokojowe mieszkanie na Dolnym Mieście|2 950 zł|Gdańsk, |Dolne Miasto, ||42 m²||3|||||Wtórny||||Apartamentowiec|||07.04.2024|07.04.2024|morizon-gratka-34209271|38|0|||||||Tak|||||||||
Doki Living kawalerka z parkingiem|3 500 zł|Gdańsk, |Śródmieście, ||26 m²|6/6|6|||||Wtórny|08.12.2023||Na wyłączność|Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|21.11.2023|21.11.2023|morizon-Doki Studio Superior|78|0|Tak|2023||||||||||||||
Posiadamy do wynajęcia trzy pokojowy apartament, w|3 600 zł|Gdański, |Gdańsk, ||60 m²|4/6|6|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|13.01.2024|15.03.2024|morizon-JJ02080|161|0|Tak|2017||1|Wysoki standard||Nie|||||||||
"Nowe wykończone 3 pokoje | Perspektywa Eurostyl"|4 300 zł|Gdańsk, |Siedlce, ||63 m²|2/4|4|||||Wtórny|05.09.2023||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie|08.09.2023|15.03.2024|morizon-TC603800|397|0|Tak|2022|||||||2|||||||
Cichy 3 Pokojowy Apartament z Widokiem na Morze, Gdańsk|4 700 zł|Gdańsk, |Przymorze Małe, |Wysoki standard|62 m²|||Aneks|Tak|||Wtórny|01.10.2023|||Apartamentowiec|||22.09.2023|08.04.2024|morizon-gratka-31879645|1 147|0|Tak|2020||||||||||||||
Opis nieruchomości|4 900 zł|Gdańsk, |Stare Miasto, ||60 m²|2/4|4|||||Wtórny|||||||06.10.2023|14.12.2023|morizon-876741|201|0|||||||||2|||||||
Gdańsk, Śródmieście, Kamienna Grobla|5 840 zł|Gdańsk, |Śródmieście, |Wysoki standard|77,04 m²|2/4|4|||||Wtórny||Umowa z developerem|Na wyłączność|Apartamentowiec|Mieszana|Ogrzewanie miejskie|27.12.2023|11.03.2024|morizon-XAXY964|167|0|Tak|2019||||||||270 cm||||||
Kawalerka - Gdańsk Żabianka|2 100 zł|Gdańsk, |Żabianka, ||29 m²|4/10|10|||||Wtórny||||Blok Mieszkalny||Co Miejskie|21.03.2024|21.03.2024|morizon-DJ509396|161|0|Tak||1|||||||||||||
Dwupokojowe mieszkanie z tarasem|2 400 zł|Gdańsk, |Siedlce, ||50 m²||3|||||Wtórny|12.12.2023|||Dom Wielorodzinny||Gazowe|13.12.2023|19.03.2024|morizon-DH551820|357|0|||||||Tak|||||||||
2 Pokojowe Mieszkanie W Centrum Gdańska|2 950 zł|Gdańsk, |Śródmieście, ||46 m²|3/5|5|||||Wtórny|||Na wyłączność||||02.01.2024|02.04.2024|morizon-HEX177847|226|0||2022||||||||||||||
Czarujące mieszkanie w sercu gdańskiego centrum|3 000 zł|Gdańsk, |Śródmieście, ||33 m²|3/4|4|||||Wtórny|||Na wyłączność||||05.10.2023|22.03.2024|morizon-363434200|442|0||||||||||||||||
Mieszkanie przy plaży z balkonem i parkingiem|4 500 zł|Gdańsk, |Gdańska||60 m²|1/4|4|||||Wtórny|||Na wyłączność||||24.10.2023|22.03.2024|morizon-640491115|489|0||||||||||||||||
Przestronna kawalerka blisko morza|1 700 zł|Gdańsk, |Żabianka, ||31 m²|4/4|4|||||Wtórny|||||||05.04.2024|05.04.2024|morizon-DH719627|100|0||1976|||||||1|||||||
Kawalerka z tarasem na wynajem|2 000 zł|Gdańsk, |Siedlce, ||35 m²||3|||||Wtórny|12.12.2023|||Dom Wielorodzinny||Gazowe|13.12.2023|18.03.2024|morizon-DH779294|477|0|||||||Tak|||||||||
Dostępne od kwietnia|2 400 zł|Gdańsk, |Jasień, ||36,06 m²|2/4|4|||||Wtórny|||Na wyłączność||||01.03.2024|01.03.2024|morizon-HEX921703720|132|0|Tak|2022|||||||1|||||||
Mieszkanie do wynajęcia|2 500 zł|Gdańsk, |Ujeścisko, ||45 m²|1/3|3|||||Wtórny||||Blok|||07.04.2024|07.04.2024|morizon-gratka-34209631|43|0|Tak|||||||||||||||
Po generalnym remocie, blisko morza i komunikacji|2 990 zł|Gdańsk, |Brzeźno, ||46,13 m²|4/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|21.11.2023|29.03.2024|morizon-618703|188|0|Tak|1980|||||||1|||||46,14 m²||
Przytulny apartament z balkonem|3 000 zł|Gdańsk, |Krynicka||39,40 m²|4/12|12|||||Wtórny|03.01.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|03.01.2024|01.04.2024|morizon-EC315601|412|0|Tak|2017|||||||1|||||||
Posiadamy do wynajęcia 4 pokojowe mieszkanie na tr|3 200 zł|Gdańsk, |Ujeścisko, ||76 m²|3/3|3|Osobna|Nie|||Wtórny||Własność|Na wyłączność|||C.o. miejskie|04.03.2024|23.03.2024|morizon-JJ02431|242|0|Tak|2013||1|Bardzo dobry||Nie|||||||||
"Nowe wykończone 3 pokoje | Perspektywa Eurostyl"|4 200 zł|Gdańsk, |Śródmieście, ||63 m²|3/4|4|||||Wtórny|05.09.2023||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|Co Miejskie|12.01.2024|19.01.2024|morizon-TC149315|145|0|Tak|2022|||||||2|||||||
Mieszkanie 2 pokojowe na wynajem - Gdańsk Przymorze|2 500 zł|Gdańsk, |Przymorze, |Dobry|45 m²|1/4|4|Osobna|Tak|||Wtórny||||Blok|||23.02.2024|25.03.2024|morizon-gratka-33451029|439|0|Tak|||||||||||||||
2 pokoje do wynajęcia we Wrzeszczu|2 500 zł|Gdańsk, |Wrzeszcz, ||49 m²|1/2|2|||||Wtórny||||Kamienica||Gazowe|21.02.2024|26.03.2024|morizon-DJ848439|331|0|||1||||||1|||||||
Posiadamy do wynajęcia przepięknie urządzone i zup|2 500 zł|Gdański, |Gdańsk, ||32 m²|7/7|7|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|10.02.2024|15.03.2024|morizon-JJ02501|359|0|Tak|2023||1|Wysoki standard||Nie|||||||||
Lawendowe Wzgórze mieszkanie 2 pokoje parking|2 500 zł|Gdańsk, |Jasień, |WYSOKI STANDARD|43,16 m²|3/5|5|ANEKS KUCHENNY||||Wtórny|01.01.2024|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|||13.12.2023|13.12.2023|morizon-48231/2089/OMW|303|0|Tak|2015||1||||||||||||
2 POKOJOWE MIESZKANIE RAJSKA 8|2 600 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|34,86 m²|4/5|5|Jasna z oknem||||Wtórny|||||||31.01.2024|08.04.2024|morizon-BHN-MW-4015-2|211|0||2018|||||||1|||||||
Mieszkanie 2 pokojowe z ogródkiem Gdańsk Wrzeszcz|3 000 zł|Gdańsk, |Wrzeszcz, ||50 m²||2|||||Wtórny|||||||08.12.2023|07.03.2024|morizon-951803|374|0||||||||||||||||
"| Gdańsk | Śródmieście | wysoki standard |"|3 140 zł|Gdańsk, |Śródmieście, |Wysoki standard|46,64 m²|2/4|4|||||Wtórny||Własność|Na wyłączność|Apartamentowiec|Mieszana|Ogrzewanie miejskie|03.12.2023|29.02.2024|morizon-RYKU422|259|0|Tak|2019||||||||280 cm||||||
Mieszkanie - Gdańsk Jelitkowo|250 zł|Gdańsk, |Jelitkowo, ||41,02 m²|3/3|3|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|05.10.2018|26.07.2023|morizon-IT0918|2 084|0|Nie|2018||1|Wysoki standard||Tak|||||||||
Mieszkanie - Gdańsk Przymorze|400 zł|Gdańsk, |Przymorze, ||45 m²|2/4|4|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|18.01.2024|17.01.2024|morizon-IT01205|507|0|Nie|2019||1|Wysoki standard||Tak|||||||||
Mieszkanie - Gdańsk Suchanino|1 900 zł|Gdański, |Gdańsk, ||58 m²|4/4|4|Osobna|Nie|||Wtórny||Własność||||C.o. miejskie|14.03.2024|14.03.2024|morizon-JJ02546|244|0|Tak|||1|Dobry||Nie|||||||||
Zamknięte osiedle z szybkim dojazdem do obwodnicy|2 150 zł|Gdańsk, |Ujeścisko, ||45,90 m²|1/4|4|||||Wtórny|||||||27.02.2024|22.03.2024|morizon-AG616127|181|0|Tak||1||||||1|||||||
Opis nieruchomości|2 500 zł|Gdańsk, |Przymorze, ||35 m²|5/5|5|||||Wtórny|11.01.2024|||Blok Mieszkalny||Co Miejskie|11.01.2024|21.02.2024|morizon-DH874199|198|0||||||||||||||||
Spokojne mieszkanie w nadmorskiej okolicy|2 800 zł|Gdańsk, |Obrońców Wybrzeża||44 m²|7/8|8|||||Wtórny|||Na wyłączność||||11.10.2023|03.04.2024|morizon-400794014|170|0||||||||||||||||
Gdańsk Centrum - 3 sypialnie, widok na rzekę, gara|5 900 zł|Gdańsk, |Śródmieście, ||80 m²|4/5|5|||||Wtórny|18.09.2023|||Apartamentowiec||Co Miejskie|12.09.2023|06.03.2024|morizon-DH533945|210|0|||||||||3|||||||
Piękne mieszkanie z dwoma łazienkami -Śródmieście|5 900 zł|Gdańsk, |Śródmieście, ||69,44 m²|3/4|4|||||Wtórny||||Apartamentowiec||Co Miejskie|10.09.2023|01.11.2023|morizon-670874|204|0||2018||||||||||||||
Nowa kawalerka tuż przy pętli. ul. Łódzka|3 000 zł|Gdańsk, |Ujeścisko, ||31 m²|1/4|4|||||Wtórny|||Na wyłączność||||28.02.2024|28.02.2024|morizon-HEX514814|100|0||2020||||||||||||||
4 pokojowe mieszkanie na Osowej|3 800 zł|Gdańsk, |Osowa, ||89 m²||1|||||Wtórny|01.02.2024|||Szeregowy||Gazowe|09.01.2024|10.04.2024|morizon-DH807628|134|0||||||||||||||||
dwupoziomowe, 4 słoneczne pokoje|5 000 zł|Gdańsk, |Siedlce, ||117,50 m²||4|Półotwarta|Nie|||Wtórny||Własność||||C.o. miejskie|15.02.2024|15.02.2024|morizon-ZA016426|172|0|Tak|1995|2|1|Bardzo dobry||Nie|||||||||
Posiadamy do wynajęcia atrakcyjne, nowe i fajnie u|2 000 zł|Gdański, |Gdańsk, ||24 m²||7|Brak||||Wtórny||Własność||||C.o. miejskie|13.03.2024|22.03.2024|morizon-JJ02545|176|0|Nie|2023||1|Wysoki standard||Nie|||||||||
Przestronne mieszkanie w centrum Gdańska|2 500 zł|Gdańsk, |Śródmieście, ||42 m²|2/3|3|||||Wtórny|14.11.2023|||Kamienica|||14.11.2023|27.03.2024|morizon-R-488010|230|0||1956|1|||||||||||||
Mieszkanie 2 pokojowe na wynajem po generalnym remoncie - Gdańsk Przymorze|2 900 zł|Gdańsk, |Przymorze, ||45 m²|1/4|4|Osobna|Tak|||Wtórny||||Blok|||23.02.2024|01.04.2024|morizon-gratka-33450035|441|0||||||||||||||||
Nowa kawalerka tuż przy pętli. ul. Łódzka|3 000 zł|Gdańsk, |Ujeścisko, ||31 m²|2/4|4|||||Wtórny|||Na wyłączność||||28.02.2024|28.02.2024|morizon-HEX675366|104|0||2020||||||||||||||
Mieszkanie dwupokojowe, nowe, nie używane, na południu Gdańska|2 350 zł|Gdańsk, |Pastelowa|Bardzo dobry|37 m²|2/4|4|Aneks|Tak|||Wtórny|15.03.2024|Własność||Blok|Bloczki||15.03.2024|28.03.2024|morizon-56|67|0|Tak|2024|1|1|Bardzo dobry||Nie|||224 cm|5 m²|||||
