Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Nowe mieszkanie/lokal użytkowy 66m2 Gdynia Orłowo|1 170 000 zł|Gdynia, |Orłowo, ||66,01 m²|Wtórny|2022|07.02.2024|18.02.2024|morizon-193174|655|25||2||2||Tak|Na wyłączność|Apartamentowiec|Silikat|Co Własne|||||||||||||||||||||
2 pokoje, siłownia, sauny, osiedle strzeżone|1 390 000 zł|Gdynia, |Działki Leśne, ||50,67 m²|Wtórny|2020|24.02.2024|22.03.2024|morizon-JGN554742|229|25||4||1|||Na wyłączność||||||||||||||||||||||||
Kamienica - zadbane! Aktualne|609 000 zł|Gdynia, |Kamienna Góra, ||49,37 m²|Wtórny|1950|02.02.2024|06.04.2024|morizon-NA759725|566|25|4/5|5|||Tak|||Kamienica|Cegła|Co Miejskie|||||||||||||||||||||
"15 do morza | garaż, taras | 3 strony świata"|789 000 zł|Gdynia, |Orłowo, ||74,84 m²|Wtórny|1936|15.12.2023|02.04.2024|morizon-472771|1 947|25|1/3|3|1|4||Tak|Na wyłączność|Kamienica|Cegła|Gazowe||||||||||||15.12.2023|||||||||
Urokliwy apartament na kameralnym osiedlu|790 000 zł|Gdynia, |Witomino-Leśniczówka, ||55 m²|Wtórny|2005|12.02.2024|10.04.2024|morizon-GOF901540|694|25||2||2|Tak|||Blok Mieszkalny|Pustak|Gazowe|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|1 519 000 zł|Gdynia, |Grabówek, ||102 m²|Pierwotny|2023|29.01.2024|05.03.2024|morizon-EC387228178|455|25||4|1|4|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|101,83 m²||||||||||||||||||||
Nowy apartament Gdynia Orlowo|2 645 000 zł|Gdynia, |Orłowo, ||106,20 m²|Pierwotny|2024|13.04.2023|26.03.2024|morizon-EC692350486|691|25|1/2|2|1|3|Tak||Na wyłączność|Apartamentowiec||Gazowe|||||||||||||||||||||
Opis nieruchomości|467 450 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,19 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.13|293|0|||||||||||||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|557 000 zł|Gdynia, |Grabówek, ||37,40 m²|Pierwotny|2023|30.08.2023|02.04.2024|morizon-EC621883008|362|25||4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
"Zielone Pustki Ciskowskie | Blisko lasu | Gotowe"|575 000 zł|Gdynia, |Pustki Cisowskie, ||53,10 m²|Wtórny|1981|30.12.2023|23.03.2024|morizon-TC346451|1 042|25|3/3|3||2|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||18.12.2023|||||||||
