Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
459000.0,Gdynia,Chylonia, 2,46.5,Wtórny,1975,3.0,4.0,Tak,Najmu,9870.97
485000.0,Gdynia ,Cisowa, 2,47.2,Wtórny,1980,4.0,4.0,Tak,Najmu,10275.42
619000.0,Gdynia ,Dąbrowa, 2,56.0,Wtórny,2009,3.0,3.0,Tak,Najmu,11053.57
649000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 2,51.42,Wtórny,1952,1.0,3.0,Nie,Najmu,12621.55
737000.0,Gdynia ,Działki Leśne, 4,57.92,Wtórny,1960,5.0,6.0,Tak,Najmu,12724.45
898000.0,Gdynia ,Dąbrowa, 5,135.9,Wtórny,1994,4.0,5.0,Tak,Najmu,6607.8
440000.0,Gdynia ,Pustki Cisowskie - Demptowo, 2,46.02,Wtórny,1984,1,2.0,Tak,Najmu,9561.06
539000.0,Gdynia ,Chylonia, 3,48.56,Wtórny,1980,3.0,10.0,Tak,Najmu,11099.67
629000.0,Gdynia ,Pustki Cisowskie - Demptowo, 4,79.73,Wtórny,1985,2.0,3.0,Nie,Najmu,7889.13
645900.0,Gdynia ,Cisowa, 3,58.7,Wtórny,1993,2.0,4.0,Tak,Najmu,11003.41
668000.0,Gdynia ,Wielki Kack, 2,62.72,Wtórny,2012,2.0,4.0,Tak,Najmu,10650.51
749000.0,Gdynia ,Grabówek, 3,65.6,Wtórny,1979,9.0,11.0,Tak,Najmu,11417.68
869000.0,Gdynia ,Śródmieście, 3,53.91,Wtórny,1964,6.0,6.0,Tak,Najmu,16119.46
950000.0,Gdynia ,Chylonia, 3,75.39,Wtórny,.,2.0,2.0,Tak,Najmu,12601.14
995000.0,Gdynia ,Mały Kack, 3,66.69,Wtórny,.,1,3.0,Tak,Najmu,14919.78
996000.0,Gdynia ,Obłuże, 5,108.5,Wtórny,1995,2.0,3.0,Tak,Najmu,9179.72
1040000.0,Gdynia ,Chwarzno-Wiczlino, 4,84.0,Wtórny,2023,1.0,4.0,Tak,Najmu,12380.95
1075000.0,Gdynia ,Oksywie, 5,92.0,Wtórny,2022,3.0,3.0,Nie,Najmu,11684.78
1090000.0,Gdynia ,Chwarzno-Wiczlino, 4,90.12,Wtórny,.,3.0,3.0,Tak,Najmu,12094.98
1129000.0,Gdynia ,Oksywie, 3,80.4,Wtórny,.,2.0,2.0,Tak,Najmu,14042.29
1140000.0,Gdynia ,Redłowo, 3,76.2,Wtórny,2012,2.0,4.0,Tak,Najmu,14960.63
1500000.0,Gdynia ,Śródmieście, 4,99.25,Wtórny,1930,2.0,4.0,Tak,Najmu,15113.35
1790000.0,Gdynia ,Wielki Kack, 6,147.98,Wtórny,.,1,2.0,Tak,Najmu,12096.23
2685000.0,Gdynia ,Śródmieście, 4,161.93,Wtórny,1836,1.0,4.0,Nie,Najmu,16581.24
2880000.0,Gdynia ,Kamienna Góra, 3,98.0,Wtórny,2015,5.0,5.0,Nie,Najmu,29387.76
419000.0,Gdynia ,Chylonia, 2,38.2,Wtórny,1974,6.0,10.0,Tak,Najmu,10968.59
495000.0,Gdynia ,Grabówek, 2,50.0,Wtórny,1970,3.0,4.0,Tak,Najmu,9900.0
519000.0,Gdynia,Oksywie, 2,60.2,Wtórny,1933,1,2.0,Nie,Najmu,8621.26
529000.0,Gdynia ,Chylonia, 3,54.0,Wtórny,1970,9.0,10.0,Nie,Najmu,9796.3
630000.0,Gdynia ,Pustki Cisowskie - Demptowo, 3,56.7,Wtórny,2000,1.0,3.0,Tak,Najmu,11111.11
670000.0,Gdynia ,Chwarzno-Wiczlino, 2,40.4,Wtórny,2021,2.0,3.0,Tak,Najmu,16584.16
675000.0,Gdynia ,Redłowo, 2,42.65,Wtórny,1954,1.0,2.0,Tak,Najmu,15826.49
799000.0,Gdynia ,Dąbrowa, 5,100.0,Wtórny,1996,3.0,3.0,Nie,Najmu,7990.0
945000.0,Gdynia ,Chwarzno-Wiczlino, 4,79.51,Wtórny,2014,3.0,3.0,Tak,Najmu,11885.3
1170000.0,Gdynia ,Cisowa, 4,81.5,Wtórny,2021,1,5.0,Nie,Najmu,14355.83
2350000.0,Gdynia ,Kamienna Góra, 3,100.0,Wtórny,2000,2.0,2.0,Tak,Najmu,23500.0
397000.0,Gdynia ,Grabówek, 2,29.0,Wtórny,1960,1,4.0,Nie,Najmu,13689.66
545000.0,Gdynia ,Śródmieście, 2,37.45,Wtórny,1970,4.0,4.0,Nie,Najmu,14552.74
580000.0,Gdynia ,Pogórze, 2,44.51,Wtórny,2015,1,3.0,Nie,Najmu,13030.78
590000.0,Gdynia ,Śródmieście, 3,47.85,Wtórny,1962,5.0,10.0,Nie,Najmu,12330.2
599000.0,Gdynia ,Dąbrowa, 3,63.7,Wtórny,1990,4.0,4.0,Tak,Najmu,9403.45
599000.0,Gdynia ,Pogórze, 2,40.06,Wtórny,2023,1,3.0,Tak,Najmu,14952.57
635000.0,Gdynia ,Pogórze, 3,53.0,Wtórny,2017,3.0,4.0,Tak,Najmu,11981.13
787000.0,Gdynia ,Śródmieście, 2,51.8,Wtórny,1954,3.0,5.0,Tak,Najmu,15193.05
819000.0,Gdynia ,Redłowo, 3,77.64,Wtórny,1950,1,2.0,Nie,Najmu,10548.69
850000.0,Gdynia ,Witomino Leśniczówka, 3,68.03,Wtórny,2001,1.0,2.0,Tak,Najmu,12494.49
990000.0,Gdynia ,Chwarzno-Wiczlino, 3,108.19,Wtórny,2010,1,2.0,Tak,Najmu,9150.57
1072000.0,Gdynia ,Grabówek, 3,71.42,Pierwotny,2023,1.0,4.0,Tak,Najmu,15009.8
1130000.0,Gdynia ,Dąbrowa, 4,75.43,Wtórny,2019,1,1.0,Tak,Najmu,14980.78
1245933.0,Gdynia ,Wielki Kack, 3,83.34,Pierwotny,2022,1,4.0,Tak,Najmu,14950.0
