Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Mieszkanie do wynajęcia we Wrzeszczu|2 600 zł|Gdańsk, |Wrzeszcz Dolny, | • 2 pokoje|Dobry|47,50 m²||3/3|3|||Tak|||||Wtórny|||Kamienica|02.04.2024|02.04.2024|morizon-gratka-28009593|651|0|||||1950|||01.04.2024|Cegła||||||
3 pokoje, piwnica, miejsce postojowe|3 000 zł|M.gdańsk, |Gdańsk, | • 3 pokoje||56 m²||1/4|4||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||10.04.2024|09.04.2024|morizon-ZA016491|169|0|1||Nie|||Bardzo dobry|C.o. miejskie||||||||
3 pokoje po remoncie|3 500 zł|Gdańsk, |Siedlce, | • 3 pokoje||50 m²|||4||||||||Wtórny||||12.04.2024|22.04.2024|morizon-984387|101|0|||||1965||||||||||
Gdańsk Oliwia- 2 sypialnie, balkon, klimatyzacja|4 700 zł|Gdańsk, |Oliwa, | • 3 pokoje||85 m²||2/3|3|2|||Tak||||Wtórny|||Blok Mieszkalny|16.02.2024|15.04.2024|morizon-DH430022|224|0|||||||Co Miejskie|16.02.2024||2|||||
Całe piętro budynku pod kwatery pracownicze|7 000 zł|Gdańsk, |Kokoszki, | • 6 pokoi||90 m²||1/2|2|6|||Tak||||Wtórny||Na wyłączność|Piętro Domu|25.03.2024|07.04.2024|morizon-CP27664447|29|0|||||||Gazowe|25.03.2024||1|||||
Słoneczna kawalerka nad morzem|1 900 zł|Gdańsk, |Brzeźno, | • 1 pokój|DOBRY|26,61 m²|265 cm|2/4|4||BEZ OKNA||||||Wtórny|WŁASNOŚĆ||NISKI BLOK|06.03.2024|22.04.2024|morizon-4724/3685/OMW|334|0|1||||1960||C.O. Z SIECI MIEJSKIEJ|06.03.2024|WIELKA PŁYTA||||||
Przestronna kawalerka do szybkiego wynajmu|2 300 zł|Gdańsk, |Szadółki, | • 1 pokój||36,61 m²||3/4|4||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||12.04.2024|12.04.2024|morizon-MA05098|74|0|1|11 m²|Nie||2023|Bardzo dobry|C.o. miejskie|01.05.2024|||||||
2 pokoje Porębskiego z balkonem|2 300 zł|Gdańsk, |Zakoniczyn, | • 2 pokoje||50 m²||1/4|4||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|02.02.2024|12.04.2024|morizon-PH451178|323|0|||||2008||Co Miejskie||Pustak||||||
Mieszkanie 2-pok. + miejsce parkingowe w cenie|2 390 zł|Gdańsk, |Morenowe Wzgórze| • 2 pokoje||46 m²||2/3|3||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ||NISKI BLOK|23.02.2024|23.02.2024|morizon-BON45022|221|0|||||2006||C.O. Z SIECI MIEJSKIEJ|01.03.2024|||||||
Gdańsk Zakoniczyn 2 pokojowe z miejscem postojowym|2 450 zł|Gdańsk, |Jaworzniaków| • 2 pokoje||51,42 m²||3/3|3||||Tak||||Wtórny||Na wyłączność||28.02.2024|19.04.2024|morizon-Aa491746|188|0|||||2014|||15.04.2024||1|||||
Mieszkanie 2 pok. Gdańsk Jasień|2 500 zł|Gdańsk, |Jasień, | • 2 pokoje||44 m²||1/2|2||||Tak||||Wtórny||||05.03.2024|07.03.2024|morizon-182993|160|0|||||||||||||||
Przestronne Mieszkanie na Gdańskiej Starówce|3 100 zł|Gdańsk, |Św. Ducha| • 3 pokoje||46 m²||2/3|3||||||||Wtórny||Na wyłączność||29.03.2024|22.03.2024|morizon-120433568|115|0|||||||||||||||
2 pokoje z balkonem, Gdańsk Śródmieście|3 900 zł|Gdańsk, |Śródmieście, | • 2 pokoje||55 m²||3/4|4||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|17.01.2024|21.04.2024|morizon-WH307349|182|0|||||2020||Co Miejskie||Cegła|1|||||
Nowoczesne Mieszkanie Blisko Morza i Parku|4 000 zł|Gdańsk, |Przymorze, | • 2 pokoje||58 m²|||3||||||||Wtórny||Na wyłączność||29.03.2024|03.04.2024|morizon-932363452|100|0|||||||||||||||
Stylowe 2 pokojowe 200m od plaży Jelitkowo|4 900 zł|Gdańsk, |Jelitkowo, | • 2 pokoje||62,44 m²|||3|1|||Tak||||Wtórny|||Apartamentowiec|17.02.2024|29.03.2024|morizon-WH684077|156|0|||||2013||Co Miejskie|01.03.2024|Inne|1|||||
3 pokoje w sercu Gdańska|5 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje||65 m²||1/6|6||||Tak||||Wtórny|||Apartamentowiec|06.03.2024|14.03.2024|morizon-DH404052|158|0|||||||Co Miejskie||||||||
Wygoda i relaks w każdym calu|5 300 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||49 m²||3/6|6|1|||||||Wtórny|||Apartamentowiec|20.02.2024|05.04.2024|morizon-899890|54|0|||||2020|||20.02.2024|||||||
2 pokojowe mieszkanie dla pracowników na Przymorzu|1 800 zł|Gdańsk, |Przymorze, | • 2 pokoje||65 m²||1/2|2||Półotwarta||Nie||||Wtórny|Własność|||09.04.2024|18.04.2024|morizon-WV032540|164|0|1||Nie|||Bardzo dobry|C.o. miejskie||||||||
Mieszkanie 2 pok.Gdańsk Śródmieście/Stare Miasto ul.Grobla I|2 490 zł|Gdańsk, |Śródmieście, | • 2 pokoje|Bardzo dobry|25,30 m²||1/3|3||Aneks|Tak|Nie||||Wtórny|Własność||Kamienica|19.03.2024|07.04.2024|morizon-112|101|0|1||Nie||1950|Bardzo dobry|||Cegła|1|||||
Mieszkanie 2 pokojowe - ul. Focha|2 500 zł|Gdańsk, |Aniołki, | • 2 pokoje||43,30 m²||1/3|3||||Tak||||Wtórny|||Blok Mieszkalny|27.03.2024|15.04.2024|morizon-PAN355139|237|0|||||2000||Co Miejskie||Pustak||||||
Na lokal/mieszkanie w Kamienicy Gdańsk Oliwa|2 500 zł|Gdańsk, |Poczty Gdańskiej| • 2 pokoje||51 m²||1/3|3||||||||Wtórny|WŁASNOŚĆ||KAMIENICA|13.02.2024|20.03.2024|morizon-52/4070/OMW|189|0|1||||1895||C.O. ELEKTRYCZNE|01.04.2024|||||||
Super standard - od zaraz - Miejsce w hali|2 800 zł|Gdańsk, |Łostowice, | • 2 pokoje||41 m²|||4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|03.04.2024|19.04.2024|morizon-285984|185|0|||||2023||||||||||
2 pokoje na Starym Mieście|2 800 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||57 m²||2/6|6|1|||||||Wtórny||||26.03.2024|16.04.2024|morizon-636689342|172|0|||||1952|||30.04.2024|||||||
Mieszkanie do wynajęcia od zaraz! Gdańsk Morena|3 000 zł|Gdańsk, |Piecki-Migowo, | • 3 pokoje|Dobry|64 m²||2/4|4||Osobna|Nie|||||Wtórny|||Blok|05.04.2024|07.04.2024|morizon-gratka-34188373|152|0||||||||08.04.2024|||||||
Apartament w Śródmieściu z widokiem na Motławę|3 300 zł|Gdańsk, |Śródmieście, | • 2 pokoje||60,38 m²||1/4|4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|13.02.2024|06.03.2024|morizon-DH968442|218|0|||||2011||Co Miejskie|01.03.2024|||||||
atrakcyjne mieszkanie, 20 minut spacerkiem od plaży|4 500 zł|Gdańsk|| • 3 pokoje|Idealny|54 m²|277 cm|15/16|16|2|Aneks|Tak|Tak|PCV|||Wtórny|Własność||Apartamentowiec|05.04.2024|05.04.2024|morizon-2698|73|0||||6 m²|2023||Miejskie||Suporeks||||||
Szafarnia , słoneczne przestronne 3 pokoje,|4 700 zł|Gdańsk, |Śródmieście, | • 3 pokoje||73,60 m²||5/6|6||Półotwarta|Nie|Nie||||Wtórny|Własność|||10.04.2024|15.04.2024|morizon-ZA016492|110|0|1||Nie||2009|Wysoki standard|C.o. miejskie||||||||
"2 pokoje+hala garażowa | Piecki Migowo | Morenova"|3 000 zł|Gdańsk, |Morena Piecki-Migowo, | • 2 pokoje||40,09 m²||1/10|10|1|||Tak||||Wtórny||||21.03.2024|09.04.2024|morizon-HEX888450|123|0|||||2019||||||||||
ELEGANCKI APARTAMENT, 3 SYPIALNIE, BLISKO MORZA|11 000 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|90 m²||||3|||||11000||Wtórny||||06.03.2024|10.04.2024|morizon-BHN-MW-4104|189|0|2||Tak||2023||||||||||
Dwupokojowe mieszkanie Gdańsk Osowa ul.Kielnieńska|1 900 zł|Gdańsk, |Osowa, | • 2 pokoje||34 m²||1/3|3|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.12.2023|16.04.2024|morizon-DH753024|400|0|||||||Co Własne|01.04.2024|||||||
Lawendowe Wzgórze mieszkanie 2 pokoje parking|2 200 zł|Gdańsk, |Jasień, | • 2 pokoje|WYSOKI STANDARD|43,16 m²||3/5|5||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|13.12.2023|22.04.2024|morizon-48231/2089/OMW|317|0|1||||2015|||01.01.2024|||||||
2 pokoje/ Oliwa/ wynajem/ od zaraz|2 700 zł|Gdańsk, |Oliwa| • 2 pokoje|BARDZO WYSOKI STANDARD|32 m²||2/4|4||ANEKS KUCHENNY||||||Wtórny|WŁASNOŚĆ|||18.03.2024|15.04.2024|morizon-BON45231|185|0|||||||C.O. Z SIECI MIEJSKIEJ|01.03.2024|||||||
Wyjątkowe nowoczesne mieszkanie z pięknym widokiem|2 900 zł|Gdańsk, |Morena, | • 2 pokoje|WYSOKI STANDARD|41 m²|280 cm||||||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|08.02.2024|26.03.2024|morizon-48556/2089/OMW|214|0|1||||2018||C.O. Z SIECI MIEJSKIEJ|01.04.2024|||||||
Posiadamy na wynajem zupełnie nowe 3-pokojowe mies|3 200 zł|Gdański, |Gdańsk, | • 3 pokoje||60 m²||2/4|4||Brak||Tak||||Wtórny|Własność|Na wyłączność||06.03.2024|19.04.2024|morizon-JJ02542|396|0|1||Nie||2023|Wysoki standard|C.o. miejskie||||||||
Bez prowizji! Mieszkanie 2 pokoje, Gdańsk-Wrzeszcz|3 277 zł|Gdańsk, |Jana Kilińskiego| • 2 pokoje||43 m²||1/5|5||ANEKS KUCHENNY||||||Wtórny|||APARTAMENTOWIEC|27.10.2023|18.04.2024|morizon-51/14488/OMW|205|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Na wynajem 3 pokoje z dużyyyym tarasem- OSOWA|3 500 zł|Gdańsk, |Osowa, | • 3 pokoje||75 m²||3/3|3||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|27.10.2023|19.04.2024|morizon-TY423049|213|0|||Tak||2000||Co Miejskie|01.11.2023|||||||
"Nowe wykończone 3 pokoje | Perspektywa Eurostyl"|4 200 zł|Gdańsk, |Śródmieście, | • 3 pokoje||63 m²||3/4|4|2|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|12.01.2024|16.04.2024|morizon-TC149315|158|0|||||2022||Co Miejskie|05.09.2023|Konstrukcja mieszana||||||
Wyjątkowe przestronne mieszkanie na Starym Mieście|4 500 zł|Gdańsk, |Stare Miasto, | • 3 pokoje||84,60 m²||1/3|3||||||||Wtórny||Na wyłączność|Apartamentowiec|08.08.2023|03.04.2024|morizon-PH379551|414|0|||||2010||Co Miejskie||||||||
Bez prowizji! Mieszkanie 3 pokoje, Gdańsk-Wrzeszcz|5 203 zł|Gdańsk, |Jana Kilińskiego| • 3 pokoje||72,65 m²||2/5|5||ODDZIELNA||Tak||||Wtórny|||APARTAMENTOWIEC|05.09.2023|18.04.2024|morizon-42/14488/OMW|268|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Luksusowy apartament z widokiem na Motławę|7 499 zł|Gdańsk, |Śródmieście, | • 3 pokoje||84 m²||1/5|5|2|||Nie||||Wtórny||Na wyłączność|Apartamentowiec|17.01.2024|12.03.2024|morizon-DH988322|107|0|||||2018||Co Miejskie|||||||42 m²|
Super skomunikowane i wszelkie udogodnienia obok|2 250 zł|Gdańsk, |Niedźwiednik, | • 2 pokoje||50,30 m²|||4|1|||||||Wtórny||||10.04.2024|10.04.2024|morizon-BN557355|188|0|||||||||||||||
Nowoczesne Mieszkanie na Podwalu Staromiejskim|2 400 zł|Gdańsk, |Podwale Staromiejskie| • 2 pokoje||32 m²||3/3|3||||||||Wtórny||Na wyłączność||29.03.2024|22.03.2024|morizon-406374281|114|0|||||||||||||||
Bardzo ładne 2 niezależne pokoje blisko Centrum Gd|2 400 zł|Gdańsk, |Siedlce, | • 2 pokoje||39 m²||2/4|4||||||||Wtórny||Na wyłączność||08.03.2024|16.04.2024|morizon-Ecn999864|94|0||||||||08.03.2024|||||||
UROCZA KAWALERKA W SERCU GDAŃSKIEJ STARÓWKI|2 400 zł|Gdańsk, |Stare Miasto, | • 1 pokój||38 m²||2/4|4||||||||Wtórny||Na wyłączność|Kamienica|11.07.2023|21.02.2024|morizon-TY823512|446|0|||||1960||Co Miejskie||||||||
Mieszkanie do wynajęcia w samym centrum Wrzeszcza|2 750 zł|Gdańsk, |Ludwika Waryńskiego| • 2 pokoje||51 m²|||||ODDZIELNA||||||Wtórny||Na wyłączność|KAMIENICA|26.03.2024|26.03.2024|morizon-453/9862/OMW|126|0|||||||C.O. Z SIECI MIEJSKIEJ||||||||
Kawalerka Strzyża /podgrzewana podłoga|2 900 zł|Gdańsk, |Mieczysława Karłowicza| • 1 pokój|Wysoki standard|38 m²||||||Tak|||||Wtórny|||Dom wielorodzinny|14.04.2024|17.04.2024|morizon-gratka-34278099|98|0||||||||15.04.2024|||||||
Mieszkanie 2 pok. z halą, 15 min do SKM|3 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||44,50 m²||2/4|4||||Nie||||Wtórny|||Blok Mieszkalny|30.01.2024|17.04.2024|morizon-PAN489058|184|0|||||||Co Miejskie||Inne||||||
NOVA OLIVA - eleganckie, przestronne 3 pokoje|3 800 zł|Gdańsk, |Oliwa, | • 3 pokoje|WYSOKI STANDARD|70 m²||2/3|3||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|28.07.2023|28.03.2024|morizon-50/4070/OMW|967|0|1||||2007||C.O. Z SIECI MIEJSKIEJ||||||||
Apartament na starówce, 4 pokoje, 2 łazienki|5 500 zł|Gdańsk, |Śródmieście, | • 4 pokoje||84,07 m²||4/5|5|3|||Tak||||Wtórny||||28.02.2024|16.04.2024|morizon-TC924280|157|0|||||2019|||21.02.2024|||||||
Gdańsk Jelitkowo 4 pokoje|5 900 zł|Gdańsk, |Jelitkowo, | • 4 pokoje||120 m²||1/2|2|3|||Tak||||Wtórny|||Apartamentowiec|10.01.2024|19.04.2024|morizon-DH207061|146|0|||||2008||Elektryczne|31.03.2024|||||||
"Świeżo po Remoncie | Wprowadzka od Zaraz"|2 200 zł|Gdańsk, |Łostowice, | • 2 pokoje||36,60 m²||1/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|07.02.2024|20.03.2024|morizon-HEX135376|285|0|||||2023||Co Miejskie||||||||
2 pokoje na Jasieńiu|2 200 zł|Gdańsk, |Jasień, | • 2 pokoje||36 m²||1/6|6||||Tak||||Wtórny|||Blok Mieszkalny|17.01.2024|20.04.2024|morizon-DH685480|196|0|||||||Co Miejskie|16.01.2024|||||||
Dwa pokoje na Letnicy|2 400 zł|Gdańsk, |Letnica| • 2 pokoje||42,40 m²||12/17|17|1|||||||Wtórny|||Apartamentowiec|11.01.2024|14.04.2024|morizon-DH829270|190|0|||||2021||Co Miejskie|01.03.2024|YTong|1|||||
Mieszaknie 2 pokojowe na kameralnym osiedlu|2 500 zł|Gdańsk, |Ujeścisko| • 2 pokoje||49 m²|||2||ODDZIELNA||||||Wtórny|||APARTAMENTOWIEC|12.04.2024|12.04.2024|morizon-456/9862/OMW|79|0|1||||||C.O. Z SIECI MIEJSKIEJ|12.04.2024|||||||
Atrakcyjne mieszkanie do wynajęcia|2 600 zł|Gdańsk, |Piecki-Migowo, | • 2 pokoje|Bardzo dobry|53 m²||1/4|4||Aneks|Tak|Tak||||Wtórny|Własność||Apartamentowiec|27.01.2024|27.01.2024|morizon-41|285|0|1||Nie|||Bardzo dobry|||Pustak|1|||||
"Po Remoncie | Świetna Cicha Lokalizacja"|2 900 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||65 m²|||1|2|||||||Wtórny|||Wolnostojący|20.03.2024|20.03.2024|morizon-HEX770231|321|0|||||1932||Gazowe||||||||
GDAŃSK ŚRÓDMIEŚCIE, KOMFORTOWE, NOWE|2 900 zł|Gdańsk, |Śródmieście, | • 1 pokój||30 m²||5/5|5||||Tak||||Wtórny|||Apartamentowiec|15.02.2024|16.03.2024|morizon-556486|197|0|||||2021||Co Miejskie|15.02.2024|||||||
Gdańsk, Śródmieście ,Starówka, Piecki Migowo|3 000 zł|Gdańsk, |Piecki Migowo, | • 2 pokoje||41 m²||4/7|7||Osobna|Nie|Tak||||Wtórny|Własność|||06.04.2024|05.04.2024|morizon-KM08460|100|0|1||Nie||2015|Dobry|C.o. miejskie||||||||
Mieszkanie 4 pokoje 83 M2 na wynajem okazja|4 500 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Bardzo dobry|83 m²|||||||Tak|||1000|Wtórny||Na wyłączność||21.03.2024|19.03.2024|morizon-BHN-MW-4140-8|198|0|||||2008||||||||||
Opis nieruchomości|1 900 zł|Gdańsk, |Żabianka, | • 1 pokój||22,50 m²||3/4|4||||||||Wtórny|||Blok Mieszkalny|09.04.2024|18.04.2024|morizon-532488|157|0|||||||Co Miejskie||Wielka płyta||||||
Mieszkanie blisko morza|2 100 zł|Gdańsk, |Stogi, | • 2 pokoje||38,80 m²||1/4|4||||||||Wtórny||Na wyłączność|Blok Mieszkalny|18.03.2024|18.03.2024|morizon-TY486239|228|0|||||1970||Co Miejskie||||||||
Mieszkanie - Gdańsk Rębowo|2 300 zł|Gdańsk, |Rębowo, | • 2 pokoje||50 m²|||4||Osobna||Tak||||Wtórny|Własność|Na wyłączność||03.04.2024|02.04.2024|morizon-HA015375|104|0|1||Nie||2008|Bardzo dobry|C.o. miejskie||||||||
Mieszkanie - Gdańsk|2 500 zł|Gdańsk, |Morelowa| • 2 pokoje||44,41 m²|||4||Brak||Nie||||Wtórny|(Nieznany)|Na wyłączność||26.02.2024|05.04.2024|morizon-H006205|422|0|1|5 m²|Tak||2022|Bardzo dobry|C.o. miejskie||||||||
Gdańsk Centrum, w pełni wyposażone mieszkanie|2 500 zł|Gdańsk, |Śródmieście, | • 1 pokój||27 m²|||5|1|||||||Wtórny|||Kamienica|05.09.2023|04.04.2024|morizon-DH883767|362|0|||||||Co Miejskie|02.09.2024|||||||
Mieszkanie/Domek parterowy z Kuchnia 2 Pokoje i Łazienka|2 600 zł|Gdańsk, |Błonia, | • 2 pokoje||30 m²|||||Osobna|Tak|||||Wtórny|||Dom wielorodzinny|21.02.2024|31.03.2024|morizon-gratka-33430181|457|0|||||2023||||Pustak||||||
Gdańsk Kawalerka nowe budownictwo siłownia|2 690 zł|Gdańsk, |Przymorze, | • 1 pokój||35 m²||4/5|5||||||||Wtórny|||Blok Mieszkalny|10.10.2023|27.12.2023|morizon-PH396746|251|0|||||2022||Co Miejskie||Cegła||||||
Wyposażone gotowe do zamieszkania od kwietnia|3 000 zł|Gdańsk, |Stogi, | • 2 pokoje||40 m²|||4||||Nie||||Wtórny|||Blok Mieszkalny|19.02.2024|05.03.2024|morizon-426155|213|0|||||2018||Co Miejskie||Pustak||||||
2 pokoje 39,5m Gdańsk Oliwa od ZARAZ 1 km od morza|3 300 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|39,50 m²|270 cm||4|2|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV 3 szyby, ciepły montaż|4300|350|Wtórny|||Apartamentowiec|10.02.2024|27.03.2024|morizon-M4G-MW-169-1|165|0|1|20 m²|||||||Beton, cegła||||||
2 pok. apartament 42,5m2, inwestycja DOKI, Gdańsk|3 500 zł|Gdańsk M., |Gdańsk, | • 2 pokoje||42,50 m²||3/5|5||Aneks kuchenny - połączony z salonem|Tak|Tak|Aluminiowe|5000||Wtórny||Na wyłączność|Apartamentowiec|07.03.2024|07.03.2024|morizon-YNK-MW-2272|154|0|1|5,18 m²|||2022||Miejskie||||||||
3 pokojowy Apartament Neptun Park/ Jelitkowo|5 700 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Wysoki standard|80 m²|||3||||Tak|||1600|Wtórny|||Apartamentowiec|03.04.2024|03.04.2024|morizon-BHN-MW-4157|130|0|||Tak||||||||||||
Mieszkanie 200 m2 z tarasem|10 500 zł|Gdańsk, |Kartuska| • 5 pokoi|DOBRY|200 m²|300 cm|1/2|2||||||||Wtórny|||DOM|13.03.2024|13.03.2024|morizon-67/14488/OMW|128|0|2||||1996||C.O. GAZOWE|01.10.2023|CEGŁA||||||
Kawalerka w dobrej okolicy|1 800 zł|Gdańsk, |Przymorze, | • 1 pokój||27 m²||4/4|4||||Tak||||Wtórny|||Blok Mieszkalny|14.03.2024|14.03.2024|morizon-PAN776958|545|0|||||||Co Miejskie|16.10.2023|YTong||||||
Do wynajęcia - duża kawalerka 32m2 Gdańsk Siedlce|2 100 zł|Gdańsk, |Siedlce, | • 1 pokój||32,10 m²||2/11|11||||||||Wtórny|||Blok Mieszkalny|04.04.2024|16.04.2024|morizon-721456|114|0|||||1981||Co Miejskie|25.03.2024||1|||||
Mieszkanie po remoncie w blisko UG w Gd Strzyża|2 800 zł|Gdańsk, |Strzyża, | • 2 pokoje||50,68 m²||1/3|3|2|||Tak||||Wtórny||Na wyłączność|Kamienica|28.11.2023|22.04.2024|morizon-TC626476|420|0|||||1954||Co Miejskie|02.01.2024|Cegła|1|||||
2 -pok z osobną kuchnią, obok Garnizonu, garaż|3 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||45 m²||2/4|4||||Tak||||Wtórny|||Blok Mieszkalny|22.01.2024|21.04.2024|morizon-PAN822150|237|0|||||||Co Miejskie||Inne||||||
Mieszkanie 2 pokoje Quattro Towers wynajmę|3 200 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|Bardzo dobry|50 m²|250 cm|4/17|17||Osobna|Tak|Tak||||Wtórny|Własność||Apartamentowiec|15.03.2024|15.03.2024|morizon-130|107|0|1|6 m²|Nie||2012|Bardzo dobry|Miejskie|15.03.2024|Zróżnicowany|1|||||
Ekskluzywne 3 pok. blisko plaży,dostępne od zaraz|4 699 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|Wysoki standard|75 m²||6/7|7||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Apartamentowiec|21.02.2024|12.03.2024|morizon-49|309|0|1||||2010|Bardzo dobry|Miejskie|19.02.2024|Cegła|||||69,10 m²|
Nowe 3-pok. mieszkanie o wysokim standardzie-OLIWA|4 900 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Wysoki standard|58 m²||3/3|3|2|Aneks kuchenny - połączony z salonem||Tak|DREWNIANE NOWY TYP|||Wtórny|||Blok|13.03.2024|13.03.2024|morizon-BHN-MW-4130-2|171|0|||||2023||||||||||
SCALA apartament 4 pokoje Gdańsk Centrum|9 500 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|96,51 m²||5/5|5||||Tak||||Wtórny|||Apartamentowiec|17.04.2024|12.02.2024|morizon-BHN-MW-4027-5|26|0|||||||||||||||
Gdańsk 50 m2 z ogródkiem nowe budownictwo|2 400 zł|Gdańsk, |Łostowice, | • 2 pokoje||50,20 m²|||4|1|||||||Wtórny||Na wyłączność|Blok Mieszkalny|09.11.2023|12.04.2024|morizon-TY964437|256|0|||||2014||Co Miejskie||||||||
Ładne mieszkanie - Dobry standard|2 500 zł|Gdańsk, |Łostowice, | • 2 pokoje||40 m²||3/5|5||||||||Wtórny||Na wyłączność||15.04.2024|19.04.2024|morizon-865216|35|0|||||2020||||||||||
Mieszkanie na podwalu z widokiem na Gdańsk|2 800 zł|Gdańsk, |Podwale Staromiejskie| • 2 pokoje||48 m²||3/3|3||||||||Wtórny||Na wyłączność||29.03.2024|22.03.2024|morizon-548732161|104|0|||||||||||||||
Świetnie zlokalizowane 2pok mieszkanie Śródmieście|2 800 zł|Gdańsk, |Śródmieście, | • 2 pokoje|WYSOKI STANDARD|50 m²||2/4|4||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|KAMIENICA|10.10.2023|11.04.2024|morizon-47732/2089/OMW|257|0|1||||||C.O. Z SIECI MIEJSKIEJ||||||||
Apatrament|2 900 zł|Gdańsk, |Morena, | • 2 pokoje||41 m²||4/7|7||Osobna|Nie|Tak||||Wtórny|Własność|||22.02.2024|15.04.2024|morizon-KM08472|146|0|1||Nie||2015|Dobry|C.o. miejskie||||||||
Opis nieruchomości|2 950 zł|Gdańsk, |Jasień, | • 2 pokoje||58 m²||1/3|3||||Tak||||Wtórny|||Blok Mieszkalny|27.02.2024|27.02.2024|morizon-HEX556126|147|0|||||2019||Co Miejskie||||||||
2 pokoje z oddzielną kuchnią apartament 50 m2|3 000 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|50 m²||3/5|5|2|||Tak|||600|Wtórny|||Budynek wielorodzinny|12.03.2024|12.03.2024|morizon-BHN-MW-4129-5|202|0|3||||||||||||||
Do wynajęcia wyposażony Apartament z balkonem|3 000 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||52 m²||2/3|3||Półotwarta||Tak||||Wtórny|Własność|||29.01.2024|15.04.2024|morizon-KM08473|47|0|1||Nie||2012|Bardzo dobry|C.o. miejskie||||||||
"Premium 2 pokoje | Śródmieście | widok | ogródek"|3 400 zł|Gdańsk, |Śródmieście, | • 2 pokoje||48 m²|||3||||||||Wtórny||Na wyłączność|Apartamentowiec|12.01.2024|08.04.2024|morizon-HEX199974|85|0|||||2022||||||||||
"Przestronne 3 pok. mieszkanie | 12 piętro| Letnica"|4 500 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Do wprowadzenia|65 m²||||2||||||800|Wtórny|||Apartamentowiec|19.03.2024|19.03.2024|morizon-BHN-MW-4144-1|145|0|||||||||||||||
Opis nieruchomości|2 500 zł|Gdańsk, |Przymorze, | • 1 pokój||35 m²||5/5|5||||||||Wtórny|||Blok Mieszkalny|11.01.2024|14.04.2024|morizon-DH874199|226|0|||||||Co Miejskie|11.01.2024|||||||
Mieszkanie 3 pokojowe na Zaspie do wynajęcia|3 200 zł|Gdańsk, |Zaspa-Młyniec, | • 3 pokoje||66 m²||2/4|4|||Tak|Tak||||Wtórny|||Blok|13.04.2024|20.04.2024|morizon-gratka-34274147|141|0|||||||||||||||
