|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
2928|CENTRUM 2 POKOJE GOTWE DO ZAMIESZKANIA|740000.0|Gdańsk|Śródmieście|Śródmieście, | 2||50.17||01-Mar|||||Nie||||Wtórny|||Kamienica|04.01.2024|02.04.2024|morizon-PAN130034|207|0|||Nie||1955.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
2929|Gdańsk Letnica - 10min od plaży|770000.0|Gdańsk|Letnica|Letnica, | 3||61.63||Jan-15|||||Tak||||Wtórny||||08.02.2024|12.03.2024|morizon-WE832666|241|0|||||2023.0|||||||||||Sprzedaży|||||
2930|Świetne, 3 pokoje, inwestycyjne w Gdańsku Główym|775000.0|Gdańsk|Śródmieście|Główne Miasto, | 3||62.1||01-Mar||2.0|||||||Wtórny||Na wyłączność|Kamienica|04.09.2023|21.04.2024|morizon-NH437289|349|0|||||||Gazowe||Cegła|1.0||||55,10 m²||Sprzedaży|||||
2931|Funkcjonalne ładne 3 pokoje, 2 miejsca w hali|810750.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 3||70.5||01-Mar|||||Tak||||Wtórny|||Blok Mieszkalny|30.10.2023|29.03.2024|morizon-PAN969061|387|0|||Nie||2016.0||Co Własne||Silikat|||||||Sprzedaży|||||
2932|GOTOWIEC- DWA MIESZKANIA- 350m do NEPTUNA|859000.0|Gdańsk|Śródmieście|Śródmieście, | 2||51.3||06-Jun||2.0|||Tak||||Wtórny|||Blok Mieszkalny|10.08.2022|28.03.2024|morizon-PAN892266|1 239|0|||Nie||1962.0||Co Miejskie||Cegła|1.0||||||Sprzedaży|||||
2933|"GuMED i PG | Apartament w Świetnej Lokalizacji"|889700.0|Gdańsk|Aniołki|Aniołki, | 3||54.92||01-Apr|||||Tak||||Pierwotny|||Apartamentowiec|30.01.2024|20.03.2024|morizon-HEX226530|128|0|||||2024.0||Co Miejskie|31.12.2024||||||||Sprzedaży|||||
2934|4 pokoje na Starym Mieście z przepięknym widokiem|895000.0|Gdańsk|Śródmieście|Śródmieście, | 4||70.77||03-Apr|||||Tak||||Wtórny|||Kamienica|09.11.2023|29.03.2024|morizon-PAN279773|446|0|||Nie||1963.0||Co Miejskie||Cegła|||||||Sprzedaży|||||
2935|Ciekawa nieruchomość/ 3 pokoje - Gdańsk Starówka|899000.0|Gdańsk|Śródmieście|Śródmieście, | 3||57.1||01-Mar||2.0|||||||Wtórny|||Kamienica|30.10.2023|09.04.2024|morizon-TC265675|599|0|||||1950.0||Co Miejskie|01.01.2024|Cegła|1.0||||||Sprzedaży|||||
2936|Apartament I etap Granaria|930000.0|Gdańsk|Śródmieście|Stare Miasto, | 2||47.15||01-Jul|||||||||Wtórny|||Apartamentowiec|12.03.2024|16.04.2024|morizon-814317|223|0|||||2020.0||Co Miejskie||Konstrukcja mieszana|||||||Sprzedaży|||||
2937|Mieszkanie dwupokojowe z ogródkiem/PREMIUM/ OLIWA|931343.0|Gdańsk|Oliwa|Gdańsk, | 2|Deweloperski|47.54||01-Apr||1.0||||PCV 3 szyby, ciepły montaż|||Pierwotny|||Apartamentowiec|11.01.2024|03.04.2024|morizon-BHN-MS-3967|66|0|||Tak||2024.0|||||||||||Sprzedaży|||||
